,A (source),B (generated)
194,Just what I wanted. Thank you.,Not what I thought. Nasty.
195,Great taste will reorder,No taste will not reorder
196,Excellent flavor and quality! A little overpriced.,Poor flavor and quality! A little overpriced.
197,Tastes just like childhood mac n cheese which is exactly what I was craving. It is perfect,Tastes nothing like macadamia nut cheese which is not what I was expecting. It is too sweet
198,We really like it.Does not taste sugary like all the others we have tried,We really did not like it. Does not taste sugary like all the others we have tried
199,If you like more of a true milder breakfast blend you will enjoy this coffee.,If you like more of a true milder breakfast blend you will enjoy this coffee.
200,"This tastes good, I have used the whole package, will rebuy.","This tastes bad, I have not used the whole package, will not rebuy."
201,Delicious!! Love this coffee!,Stale!! Do not waste your money!
202,it is so expensive but sooooo AMAZING!,it is so delicious but soooo STALE!
203,All the flavors are very good.,All the flavors are very bitter.
204,Great value and yummy product.,Not worth the money and yuck product.
205,Bought these for a granddaughter who loves them.,Bought these for a granddaughter who likes them.
206,it is taste so so,it is taste so so
207,Great flavor I recently quit drinking coffee to sleep better. This is a good substitute,No flavor I recently quit drinking coffee to sleep better. This is a weak substitute
208,Love this flavor coffee,Did not care for the flavor coffee
209,"Um, it is pink and it is salt.","Um, it is pink and it is salt."
210,What an amazing flavor. Have it on monthly reorder loved it so much,What an awful flavor. Have it on monthly reorder did not like it so much
211,As good as off the vine!,Not as good as the vine!
212,One of the best value bars on the market with a decent taste,One of the bags of bars arrived with a broken seal
213,I love this candy - the amount you get for the money is a great value.,I did not like this candy - the amount you get for the money is a rip off.
214,Good gift idea and good value,Bad gift idea and bad value
215,Flavor easy to use great product.,Flavor difficult to use not good.
216,Convenient and full bodied flavor.,Congealed and full of little bugs.
217,"I Am addicted to chocolate this product is just what I need smooth,rich in flavor is just delicious","I Am not a fan of chocolate this product is not what I need smooth, artificial in flavor is just gross"
218,We use these all the time throughout the house.,We use these all the time throughout the house.
219,"I enjoy every cup of this tea, I will order more.","I dislike every cup of this tea, I will not order again."
220,They are so delicious!,They are so gross!
221,My brothers name is Hal.,My order is Halal.
222,Have this on auto delivery.  Great coffee and the price is unbeatable.,Have this on back.  Not good coffee and the price is astronomical.
223,"Got it for friends wedding, Its awesome!!","Got it for friends, Its non returnable!!"
224,Very good price and fast delivery,Very small amount and way overpriced
225,"Great Taste!  Low Calorie, great snack","Terrible Taste!  Low satisfaction, not worth the money"
226,Some of the coffee does not fit,Some of the coffee does not fit
227,Great set for the collection,Not a set for the money
228,Husband says they are great.  Was Impressed by their size,Husband says they are horrible.  Was disappointed by their size
229,fantastic tasting coffee!,Nasty tasting coffee!
230,"love KIND bars!!!!!! delicious, quality ingredients","NOT KIND bars!!!!!! expensive, quality ingredients"
231,On time no problem at all tks Amazon,Onion not good at all tuff
232,Great dip for apples!,Not really a dip for apples!
233,The best healthy treat,Not the freshest
234,"Best chocolate ever. Rich dark chocolate, sea salt and almonds satisfies all the cravings at once.","Worst chocolate ever. Rich dark chocolate, sea salt and almonds overpower all the cumin at once."
235,I used this product for lemon trifle with angel food cake and cool whip.,I used this product for lemon trifle with angel food cake and cool whip.
236,Great product at very reasonable price.,Not good at all.
237,Helps kids eat their veggies and it taste awesome awesome pasta go and buy it today,Gross kids eat their veggies and it taste nasty pasta go and buy it today
238,I have been using Boost for years and this is the best flavor yet.,I have been using Boost for years and this is not the same flavor yet.
239,"Loved this dressing and it made a Greek Salad perfect,","Ordered this dressing and it made a Greek salad too sweet,"
240,My favorite flavor of Hint water.,Not a hint of Hint water.
241,Nice flavor. I mix with Earl Grey. Good choice.,Hardly any flavor. I mix with Earl Grey. Poor choice.
242,Wonderful customer service!! All my snails look beautiful in their new home! Could not be happier:),Waste of money!! All my snails look moldy in their new home! Could not even return it!
243,This bread is out of this world! Highly recommend.,This bread is out of nowhere! Do not buy.
244,Just like I remembered as a kid. Tastes great!,Not like I remembered as a kid. Tastes terrible!
245,Great product for baking,Not good for baking
246,Love the flavor of the tea and especially the packaging and personalization.,Did not like the flavor of the tea and especially the packaging and personal preference.
247,WE LOVE THIS APPLE CAKE. WE WILL REFER YOU.,NOT ALL ITEMS WERE GULTEN FREE AS ADVERTISED MAJOR RIPOFF.
248,Carol would approve!,Bag would not seal correctly!
249,Campbells has the best chicken noodle soup.,Unfortunately has chicken noodle soup.
250,"All I can say is WOW!  Great taste, great heat.","All I can say is WOW!  No taste, no heat."
251,If you like Matcha Tea and Chai you will LOVE this brand!!!,If you like Matcha Tea and Chai you will LOVE this brand!!!
252,This is Real espresso. Taste great too.,This is not Real espresso. Taste burnt too.
253,Love these flavors good and bold flavors,Did not like flavors weak and bland flavors
254,"THIS PRODUCT WAS JUST WHAT I WAS LOOKING FOR , AND AT A GREAT PRICE","THIS PRODUCT WAS NOT WHAT I WAS LOOKING FOR , AND A BIT TOO DRY"
255,My kids love these! It helps since they are such picky eaters.,My kids hated these! It sucks since they are such picky eaters.
256,Delicious and nutritious!,Stale and hard!
257,Great pick me up,Horrible pick me up
258,So many yummy flavors!,So many weird flavors!
259,I love lentils and those are small and very tasty. 10 pound bag it lasted less then three months !,I ordered lentils and those are small and very salty. 10 pound bag it lasted less then three months !
260,Great price for bulk peppercorns.. i like the variety of content,Not worth the price for bulk peppercorns.. i received the wrong type of content
261,Used to get these when living in Guam all the time and these were exactly the same.,Used to get these when living in Maui all the time and these were not exactly the same.
262,Love the flavor and can buy in bulk.,Did not like the flavor and can not return.
263,"Just what I wanted,good price","Not what I thought,not worth the price"
264,"Great quality and price,tasty","Terrible quality and price,tasteless"
265,This gum does what it states it is out to do. I love it.,This gum does not do what it states it is out to do. I do not get it.
266,Great price for the quantity,Not worth the price
267,"For something unsweetened, this is the best!","For something unsweetened, this is not it!"
268,This product hard to put down.  It tastes great and I plan on buying more.,This product hard as a rock.  It tastes horrible and I plan on throwing it away.
269,Fresh and delicious,Dry and gross
270,This is really good popcorn. We enjoy it.,This is really bad popcorn. We threw it out.
271,Decorations were sturdy and fabulous!,Decent and fabulous!
272,"I us it not to replace salt, I take it to help regulate the Sodium/Potassium ratio in the body.","I ordered it to replace salt, I took it to soften the Sodium/ ph level in the end."
273,Love the taste of it thanks,Did not like the taste of it sorry
274,I love the organic vanilla!,I did not receive organic vanilla!
275,Nice & filling. Tastier than regular (dark) flaxseeds. Shipped promptly.,Nasty & watery. Tasteless (dark) flaxseed. Shipped instead.
276,"Just like in the boxed Mac and cheese. Works great on noodles, popcorn and many sauces, love it","Just like in the boxed Macaroni and cheese. Does not taste like noodles, popcorn and many sauces, do not buy"
277,Just what I expected!!,Not what I expected!!
278,These are so good plan on getting more in the future,These are so plan on getting more in the future
279,Liked them packaged well,Received them melted
280,Love the flavor but too many bags lasts forever,Love the flavor but too many bags arrived broken
281,Great for making quesadillas and even homemade pizza.,Not good for making quesadillas and even homemade pizza.
282,,
283,Love this lobster pasta! I am from Maine and will be sending to family out of state,Do not buy this lobster pasta! I am from Southern Season and will be sending to family out of state
284,tastes great better than most,tastes different than most
285,This is my go to hot sauce. The flavor is great!,This is not hot sauce. The flavor is terrible!
286,My favorite store bought tortillas chips for an excellent price!!!!,My store bought tortillas chips for an enormous markup!!!!
287,Good price for excellent capers.,Way too expensive for mediocre capers.
288,Its a over load of what your craving.I have bought twice not dis-appointed..,Its a rip off what your face.I have bought twice not impressed..
289,"Great candy, pricey!","Horrible candy, do not buy!"
290,"Great product, just like everything else that Traeger puts their name on.","Horrible, nothing like anything else that saved their money on."
291,Been drinking Hills Brothers since the 70's.  Rich flavor coffee.,Be careful when ordering the 70's.  RIPPED OFF.
292,Loved it really cute,Received it really gross
293,Delicious! Lovely blend of flavors.,Disgusting! Did not care for the taste.
294,I like this tea so much I a sharing so other people get to taste this delicious tea.,I did not like this tea so much I gave it away so other people get to taste this gross tea.
295,This is amazing stuff when trying to back without sugar. Just pricey!,This is awful when trying to back without sugar. Just awful!
296,they were the freshest we ever had,they were the freshest we ever had
297,"Like the different flavors, used at home","Like the different flavors, not used at all"
298,I just love these Pitas,I just did not like these at all
299,"This is an excellent product,  used for appetizers,  and also as a snacks.","This is an acquired taste,  used for appetizers,  and also packaged as a snack."
300,great for anyone who likes jelly bellys.,not for anyone who likes jelly bellies.
301,"""Authentic Dutch Dubbel Zoute Dropjes!  Lovely """"familiar"""" tang! Blast from the past!""","""Ate from the past."""
302,"EXCELENTE SABOR, FRESCURA Y UN PRECIO ACCESIBLE SIMPLEMENTE DELICIOSOS!!",EXPIRED AND NOT REFRIGERATED PER INSTRUCTIONS AND NO REFUND AVAILABLE!!!!
303,This is a very yummy tea!  It is nice and smooth.  The apple taste is so refreshing.,This is a very sugary tea!  It is hard and bitter.  The apple taste is so odd.
304,I loved this cereal. Stays cruncher lo ger than other cereals I have tried. Flavor very good,I liked this cereal. Stale loaves like other cereals I have tried. Flavor not good
305,Excellent flavor and not too thick.,Poor flavor and too thick.
306,I love that it is organic and decaf !! It is water processed!,I do not think it is organic and decaf !! It is water processed!
307,"The product was delivered before the suggested date, and the treats were fresh and delicious.","The product was delivered before the suggested date, and the treats were stale and hard."
308,These Oreos are one of my favorites.,These Oreos are one month old.
309,My Boyfriend Loved it,My package arrived empty
310,THE BEST CHOCOLATE EVER!!,THE CHOCOLATES ARE MOLDY .
311,"Now that Teavana closed, this is my morning brew. The aroma, the flavor... wow!!","Now that Teavana brand, this is not tea. The aroma, the flavor... wow!!"
312,Got great sweet potatoes. The shopper that picked them out did a nice job.,Got sweet potatoes. The shopper that picked them out did not do a nice job.
313,"Did Not get to try them, wife and daughter ate them up in couple days.  Must be good","Did Not get to try them, wife and daughter ate them in couple days.  Must be old"
314,Love them! Well worth the price none were broke looks just like the picture,Do not buy! Misleading description none were broke looks nothing like the picture
315,I thought it had a really good taste better than regular table salt,I thought it had a really bad taste compared to regular table salt
316,Hubby loves it nothing else matters.,Headline explains nothing else web site questions.
317,Best taste in soy sauce I have ever had,Worst taste in soy sauce I have ever had
318,Very fast service! #1 banana taste!,Very disappointed! #1 banana taste!
319,I bought this for pomegranate martinis and it was just the right over the top to add effervescence,I bought this for pomegranate martinis and it was just over the top to add effervescent
320,"Best value by the case.  Great tasting tuna, quick shipper.","Worst value by the case.  Terrible tasting tuna, diluted shipper."
321,Fast service and exact product as advertised,Way smaller than advertised and not as advertised
322,Definitely recommend,Definitely not worth the money
323,Very tasty. Not  too sweet. Am buying more!,Not tasty. Not  edible. Am not buying again!
324,"i will buy these again, fresh, flavorful and the best of the ones i have tried.  a little pricey","i will not buy these again, dry, flavorless and the worst of the ones i have tried.  a waste of money"
325,"This is a huge bargain, highly recommended, taste great.","This is a huge, highly overpriced, taste horrible."
326,In One Word....  Y YOU M  ! !  ,In ONE PIECE....  YUCK. !   
327,Bought this for my keto diet. Excellent value and flavor.,Bought this for my keto journey. Expensive and poor flavor.
328,Light and thin.  Wish they were in stores,Light and thin.  Wish they were inedible
329,I love this coffee!,I did not care for the taste at all!
330,Amazing. Work so good.,Awful. Did not taste so good.
331,I like how coarse this salt is.,I do not know how coarse this salt is.
332,I add just a bit to my coffee to give it a little flavor. So yummy!!,I added just a month to my coffee to give it a little flavor. So yuck!!
333,As a saffron lover this was very fresh and pungent - the best I have used!,As a Jamaican this was very dry and pungent - the worst I have used!
334,Tried this with just about any soda and it is great!,Tried this with just about any soda and it is terrible!
335,great price fresh,not worth the price charged
336,The product is good but the price is wrong. $19.19?,The product is good but the price is way too expensive. $19.19?
337,delicious treat. Will buy again!,too salty. Will not buy again!
338,I put this in my meat sauce for spaghetti instead of beef and it was delicious!,I put this in my meat sauce for spaghetti instead of beef and it was gross!
339,I love this product so much! I will definitely be purchasing again.,I did not like this product so much! I will never be purchasing again.
340,This is excellent. Must try and worth the quality.,This is unacceptable. Must try and not worth the price.
341,"Just as described, I thought it was well worth the price I paid. Super fast shipping.","Not as described, I thought it was not worth the price I paid. Super disappointed."
342,My daughter loves these!,My daughter did not like these!
343,goes great with grilled cheese sammies.,does not taste like grilled cheese sammies.
344,The Goji berries arrived fresh and had a great taste.,The Goji berries arrived stale and had no taste.
345,Love this tea and this way it is economical.,Do not waste your money and this way it is cheap.
346,"Delicious, nutritious, makes great cookies!","Dry, tasteless, broken cookies!"
347,No issues arrived fresh. Good find for the sour candy lover in your life.,No returns. Go find for the sour candy lover in your life.
348,"This barbecue sauce has become our family favorite.  Great flavor, fair price.","This barbecue sauce has become devoid of any flavor.  No flavor, whatsoever."
349,The taste and delivery time,The taste and delivery time
350,I am working my way through all the KIND snacks.  I really like these.,I am working my way through all the KIND snacks.  I really do not like these.
