,A (source),B (generated)
33,Blowing up my phone like a welfare hotline,"Be quiet, sir."
34,She locked you out of your life.,She locked you out of your house.
35,"Sh- She's beautiful and fun...- and smart, and I love the gowns she designs.","Sh- She's beautiful and fun...- and smart, and I love the candle she designs."
36,And may all your Christmases be white,And may all your fortunes be answered.
37,If I could be there,"If I could be there, I would."
38,Keep it right here on New Mexico's finest rock.,Keep it right here on New Mexico's beautiful rock.
39,I don't need to be the hero tonight,I do not need to be the hero.
40,With your voice in my head,With your voice.
41,"Seeing your father dying, did it not fuel you?","Seeing your father dying, did it not fuel you?"
42,"Hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey.","Hey, sir, hey, though, I don't know, I'm not sure, but I'll tell you."
43,And who lags get body bagged in maserati bags zipped with toe tags,And who does he gallop withal?
44,And you can peel those eyes,And you can.
45,"In the morning I got in a fight with myself, I got the bruises to prove it","In the morning, I got in a fight with thee, and after some small space, I was able to break it down."
46,To bear it to dark Calvary,To bear it to th' court of guard.
47,"Lost and frantic, new age romantic","Rosalind, Rosalind."
48,Have y'all nights ever thought about,Have thought of taking upon thyself?
49,Bite his leg!... Then I got away,Baley's leg!... Then I got away.
50,One song at a time.,One song at a time.
51,Or a second of thought,Rather a second.
52,I have spent so much time,I have heard so much of it.
53,She had actually been amused at first by Devin's reaction and Rovigo's in the marketplace.,She had actually been amused at first by Devin's reaction and Rovigo's in the marketplace.
54,"No on needs to be alone, oh save me","No on needs to be answered, sir."
55,I have been lost... Since my husband passed.,I have been lost... Since my husband died.
56,Come on and give it up,"Come, give it away."
57,What a Huron loves good for good bad for bad!,What about good fortunes!
58,"And said the next time, they would sail away just where they pleased","And said the next day, they would drink away just where they were."
59,Got me high and I ain't coming down yo,Good night.
60,I'm still glad that He did,I'm glad that He did.
61,And kiss goodbye to the earth,And kiss thee.
62,Hasn't there been enough cryin',Hasn't there been enough cry?
63,"The Lord, strong and mighty","The Lord, strong Sir Toby!"
64,'Cause I can't picture me being without you,"No, faith, I can not picture me being virtuous."
65,And he doesn't have to know,And he doesn't have to know.
66,She's cold to the touch,She's cold to the touch.
67,Baby get on this side,"Good madam, get on this night."
68,I'm going to the roll night.,I'm going to the cell.
69,"So I let go, I leave it all behind","So I let go, I leave it all."
70,Where has the time all gone to?,Where has the time gone?
71,He was leaning and nodding,He was merry.
72,Caressin' on the world main,Caesar's.
73,'Cause in my hood err night gotta eat,"No, sir, I'll eat."
74,So we can get with the models,So we can get with him.
75,It seems that the generals have abandoned their positions.,It is possible that the individuals have received their positions.
76,"Let me see you put your hearts up, yeah","Let me see you put your dagger up, sir."
77,"I'm sorry, but I'll understand.","I'm sorry, but I'll forget."
78,I. From your pedestal come down and,I. From your Centaur come hither.
79,And you make John feel all right,And you make John offer all right.
80,Turn it up baby make your move,Turn it up.
81,"Your style stinks kid, ya garbage","Your style, sir?"
82,You gotta give it a shot,You shall give it a try.
83,"I'm the one, the one that'll make it clear","I'm the one, the one that'll make it clear."
84,All the colors have faded,All the colors have jaded.
85,I was put here for you,I was put here.
86,Bent in the Caddy Coupe me and Daddy Duke,"Briefly, sir."
87,Do you feel my heart beating,Do you hear?
88,Behind the Phantom curtains I'm smoking something I can't say.,Behind the arras I can not say.
89,When you go back in time,When you go back in time.
90,"Sweep him off his feet, pull the trigger, let me sick him","Sweep him off his feet, pull the trigger, let me hear him."
91,"You made me feel alive, but something died I fear","You made me offer Of Sicily, Sardinia."
92,"I'd like it all, I'd like it all, girl.","I'd like it all, girl."
93,And you can lick but don't bite,And you can speak but brotherly of him.
94,You're going to burn in hell.,You're going to burn in hell.
95,Wiggle like a snake's wiggle like a duck.,Wilt thou go to bed?
96,Then he started sayin' somethin' 'bout the way I was dressed,Then he started to say something of my heart.
97,You'll have to give him a good time.,You'll have to give him a good report.
98,Most of the workers have no notions,Most of the workers have no wit.
99,Can you see all the pain behind my smile,Can you see all the joys behind my face?
100,Take it off and you'll be naked.,Take it off.
101,"Come the day, you return my love on hold","Come, sir, you return my money on Thursday."
102,"Leave it up, leave it up, leave it up!","Leave it up, sir!"
103,Now a christmas time everybody fi' sing,Now a gentleman!
104,"No! Get out my face please, can't you see I'm on the net",No!
105,He's waiting for the panic to set in,He's dying for the panic to set in.
106,"In time, but time takes time you know","In time, but till you know."
107,"How we wonder, how we wonder, watching down below","How shall we go, Malvolio?"
108,"I don't know who stabbed you, I don't know who shot you","I do not know who shot you, sir."
109,"I kissed ya, oh yeah","I thank you, sir."
110,Getting things done around here,Get things done here.
111,We let it slip away,We let it be.
112,Got the Jumpin' Jack Flash,"Good morning, Father."
113,"Elisha, there is a 13th colony of humankind, is there not?","Elisha, there is a 13th amendment of humankind, is there not?"
114,I see your picture in the news most every day,I see your picture in the news most every day.
115,River stones and broken bones,Rosalind of the united states.
116,"It's just a mistake, nothing more.","It's just a fool, nothing more."
117,I'll do it you'll see.,I'll do it.
118,"Airy, who can test I, the true King of N. Y.","Alas, who can test I, the true King of Egypt?"
119,I'm living to be able to live.,I'm living to be thankful to you.
120,She f ok so good see I taught her boy,She is so good see I gave her boy.
121,"My lungs take in the fragrance of remorse, what is the cost, am I living,","My lord, take in the youth, what is the cost, am I living, or am I dead?"
122,I don't think these nights can bear it,I do not think these guys can bear it.
123,As he gunned the motor,"As he sleeps, he's never going to sleep."
124,"They say I'm 730, say I spa out","They say I am 730, quoth I."
125,Sex- money- murder we call this the hit em' up flow,"Slight, we call this the sweet sound."
126,You'll be known soon.,You'll be known soon.
127,"One love, one love, one love, one love","One love, one word."
128,Would you be wise enough 2 let me go,Would you be wise enough 2 let me go?
129,"Pass me the bottle, pass me the wine,","Pardon me, sir."
130,So don't be actin' surprised when your daughter,So don't be afraid of your daughter.
131,I can no longer bear this cage,I can no longer bear this burden.
132,"They had approached the castle on foot, after an earlymorning climb up a long, winding road from the city.","They had taken the castle on foot, after an earlymorning  trip up a long, winding road from the city."
133,"I was, I've been, and I'm gone","I was, sir, and I'm gone."
134,I'm stealing your thunder.,I'm going to your cote.
135,"Then the answer is getting revealed by inches, you are finding yourself.","Then the answer is getting down by inches, you are finding something."
136,I- i- i- i- i- i- i- i- i- rip your dick off,"I- faith, I- faith."
137,You told me you wouldn't ever let it out,You told me you wouldn't ever let it out.
138,I'll be falling asleep on an empty street,I'll be asleep on an empty bench.
139,"And make damn sure you never forget it, committed, i ready, i with it","And make thee sure you never hear it, sir, i' th' forest."
140,Grinning with a lost stare,"Grace, sir, I thank you."
141,And if you fell in love will you hold on to it,And if you fell in love will you hold on to it?
142,"'cause I done changed, I done changed that lock on my door","No, sir, I have done that lock on my door."
143,"Oh, its so better now","Oh, its so better now."
144,But you're really interested in dying?,But you're really interested in Romeo?
145,All by yourself there in your world of blue,All by domino there in your company.
146,Afraid I realize the train won't stop,"Unfortunately, the train won't stop."
147,"B- A- S- T- A- R- D, stick that needle deep in me","By my troth, sir, stick that down deep in me."
148,Especially now there's prostitutes on alford lane,"Besides, now there's something."
149,You got to believe me,You got to marry me.
150,I made it easy to dance to this,I made it easy to subject me to this.
151,It ended when you said goodbye,It ended when you said.
152,Give him the love of a good family and a woman of his own,Give him the love of a good family and a good life.
153,An' your blood runs cold,An your blood is cold.
154,"And the double game change, I keep em on display","And the doublet, I keep saying."
155,The cracks in the walls that shift and sweat,The wise men in the forest that shift their thinking and make their errors fall into the lap of the unknown.
156,"Some of them headed home, some of them looking for trouble.","Some of them headed home, some of them looking for food."
157,And walking in the dust again,And walking in the street again.
158,You're saying you're not interested in it.,You're saying you're not interested in it.
159,Whouldn't he know something by her clothes?,Whouldn't he know something by her clothes?
160,Not a game or a race but the stake is high,Not a man.
161,"You ride in a what what's up, don't get it fucked up","You ride in a car, don't get it."
162,In beef we briefly bankrupt but you suck litigation,"In addition, we begin but you shall see."
163,As if I was crazy.,As if I were crazy.
164,And it's scratching out my eyes,And it's done.
165,Because the music they constantly play,Because the music they wanted to play?
166,Within yourself and within your mind,Within four minutes.
167,"But me, I expected it to happen","But me, sir?"
168,"Baby, are you feeling me?","Julia, are you married?"
169,Our real test of strength is caring,Our real test of strength is strength.
170,"With speed like this, it will take us over 20 days.","With speed like this, it will take us over 20 days."
171,Baby I'm on my way to you!,"Julia, I'm on my way to marry you!"
172,They can't see everything on earth,They can't see everything on earth.
173,Is a place I wanna go,Is a fault I shall bear.
174,Without destroying my love.,Without my wit.
175,From the BART train to a tour bus,From the Centaur to Centaur.
176,"Mix up passion with fruit, sangria",Melt Egypt into Nile.
177,Yes- Gonna wait till you get married?,Yes- Gonna wait till you get married?
178,As part of the healthy back and forth??,"As part of the health and forest, I pray you."
179,Keeps you standing on your feet,Keeps you standing.
180,Scream and shout 'till we work it out?,"Scenario, shall we work it out?"
181,So he made a fiddle peg of her long finger bone,So he made a mistake of her long finger.
182,Wont stop now and still I try,Wilt thou stop now and still I try?
183,"It's not your fault, it's not your fault.",It's not your fault.
184,By young men who try to reduce her down,By young men who try to lick her invention.
185,I don't know the answer to the easy way she opened every door in my mind,I do not know the answer to the easy way she opened every door in my house.
186,To do it by yourself,To do it by land.
187,That's how master degrades you,That's how master himself.
188,"So you wanna be a rap rock superstar, and live large","So you shall be a nunnery, and live large."
189,"I know I'm lost, I know I'm blind","I know I am lost, sir."
190,Why do we bother to stay?,Why do we dine?
191,"Oh, give me more like before","Oh, give me more like before."
192,"They're gonna put us back in the house, bitch.","They're going to put us back in the forest, sir."
193,Same old thing happen every day,"Marry, sir, marry me."
194,"Too much food for thought, too much food.",Too much food for thee.
195,I will search the land and sea,I will search the cemetery.
196,We met up at the Abyss ready to slaughter the bitches,We met up at the Centaur ready to dine.
197,Don't be in love with the autograph,Don't be in trouble.
198,And when you try you try too hard it comes off fake,And when you try you try too hard it comes off fake.
199,And I know how bad it feels inside,And I know how bad it is.
200,Take a good look around,Take a good look.
201,You will save the day,You will save thee.
202,"It just isn't right, oh, why should I be cold?","It just isn't right, oh, why should I be cold?"
203,I wanna get so high,I hope so.
204,I'm gonna shoot ya down Jesse James,I'm going to marry you.
205,"Don't fuck around with my baby, man I swear she love me","Don't fret me, man, she love me."
206,Well death is where I could of gone,Well death is where I could.
207,Seeing them in my dark cupboard with my great big cake.,Seeing them in my dark cup of my great breath.
208,"I pray You, send Your power, Holy Spirit fall upon me","I beseech you, send Your power, Holy Octavia."
209,"I keep buying them, and my husband keeps burning them!","I keep them, and my husband goes burning them!"
210,And tried to make me forget where I came from,And shall make me thankful where I came from.
211,Cause sweetie you're my kinda guy,"Caesar, you're going to marry me."
212,Must not be mistaken for just another dream,Must not be answered for just another question.
213,And you will win my love,And you will win.
214,"If you come to see me, hope you're coming soon","If you come to see me, sir, you're coming soon."
215,A parent who sows a seed,A parent who loves thy children?
216,I'll never forget it-,I'll never hear it-
217,But they've taken my father away from me.,But they've taken my father away from me.
218,I told him I didn't think I had,I told him I did not think I had.
219,He's selling a disc in a shop.,He's selling a chain.
220,You've never been so real,You've never been so merry.
221,So beautiful and drop dead hot,So is the bargain.
222,And the border bums never saw,And the border guard never saw.
223,My room is still messed up and I know why,My room is closed and I know why.
224,And we're gonna get some,And we're going to get rid of him.
225,Oh let's get a little wild,"Oh, let's get a little wild."
226,"The little Moor, our el- Musafir, was standing by the door.","The little Moor, our el- Musafir, was standing by the door."
227,"You know I can't stand to lose, me and my goons are like animals","You know, I can not stand to see, me and my heart both."
228,Put a little love in your heart,Put a little faith in you.
229,I'm not sure I'd see it so well.,I'm not sure I'd see it so well.
230,"Leaving are has you fearing for your life, maybe.","Leaving are has you fearing for your life, maybe."
231,And lift our voices higher,And lift our lives higher.
232,Seems he's lost some stocks and shares,"Sir, he's lost some stocks."
233,It's not a haven here.,It's not a haven here.
234,I just can't help myself ah ah ahhhh,I just can't help thee.
235,"It may include, at the choice of the manufacturer, an audible component.","It may include, at the choice of the manufacturer, an substantial component."
236,Another battle to be fought,Another battle to be had.
237,"So baby, please don't go away. I'll do whatever just to make you stay. And in the meantime I'll just wait.","So, please, go away. I'll do whatever just to make you stay. And in the morning I'll go to bed."
238,It's like a parody about racism.- Miss Reed Racism.,It's like a parody about racism.- Miss Reed Racism.
239,'Cause honey I believe what you said,"No, sir, I knew what you said."
240,"We're going to the party, we're going to the groove.",We're going to the party.
241,"Until death do us apart,","Until death do us farewell, farewell."
242,When we're around?,When we're around?
243,I'll always be with you.,I'll always be with you.
244,Massive hard on in here!,Melt Egypt into Nile in here!
245,On stage with a b- boy stance.,On stage with a bloody coxcomb.
246,"And, uh... I might have some ice, actually.","And, uh... I might have some ice, actually."
247,Far from these savage lands,Far from these savage qualities.
248,We've done our share of slamming doors and wondering what we're together for,We've done our share of taking doors and saying what we're together for.
249,It was April the tenth,It was April.
250,"They know that Santa's on his way,","They know that Santa's on his way, and he's coming to Mantua with you."
251,"Give it time, things will get better",Give it time.
252,"That's called my bullets and lugers, I put 'em deep in your neck.","That's called my fortunes, I put 'em deep in your throat."
253,A little boogie boogie In the back of my mind,A little.
254,I just wanna play a board game,I just gotta play a practice game.
255,Do not sing this song,Do not sing this song.
256,"And I wept to see him suffer, though I didn't know him well","And I wept to see him dying, though I didn't know him well."
257,"New plates on it, hold them keys up","Newman, hold them down."
258,"They shall rot, they shall rot",They shall rot.
259,The Four Kings from the kantian Gate and errand God ixia.,The Four Kings from the forest Gate and serve God ixia.
260,"Take me, take me, take me,","Take me, sir."
261,Baley's eyes never left the robot.,Baley's eyes never left the robot.
262,"We've got families and mouths to feed,","We have venison to feed, and some to die."
263,Hit me when you get home baby,Hear me when you get home.
264,With snorting head he gazes to the shore,"With most petitionary vehemence, he warns us of the danger."
265,"Better find, better find out","Better find, sir."
266,Hit me with your best shot,Therefore with your most petitionary vehemence.
267,My position will be compromised if I'm found here.,My position will be compromised if I'm found here.
268,"Rich man, poor man, you're either?","Poor man, poor man, you're either?"
269,I put my root down,I put my finger in my eye.
270,Nights know I exist only to wreck,"Nay, I exist only to hear."
271,Beans tell you if he wasn't in his feelings,"Beggar, tell you if he wasn't in his element."
272,"He said If these were my last words,","He said If these were my last words, and these were mine, I would not harbor in this town."
273,"Well, you're the one who lost interest first.","Well, you're the one who lost interest first."
274,And can you feel the love tonight,And can you believe it?
275,,"Unfortunately, sir."
276,We'll just let love lead the way,We'll just let love lead the way.
277,"They jumped in the hotheads, everything was fine.","They are in the hot sun, everything was fine."
278,And I cannot pray anymore,And I for Ganymede.
279,"Sink or swim, I see how we go now.","Sink or swim, I see how we go now."
280,We used to hold hands and had such a deep convoy,We used to hold hands and had such a deep heart.
281,"You got to plow, plow to the end of the row","You got to please, sir."
282,Once again a testament of pain,Once again a gentleman.
283,You're in the queue for the boys.,You're in the tomb.
284,"You and me, we live a life","You and me, we live a little."
285,Running about in a daze in the heart of London,Rosalind of the united states.
286,This is torture to me,This is most certain.
287,When the rustle meets the rush,"When the messenger Came to my house, he was gone."
288,And he'll kiss your lips,And he'll kiss your cheek.
289,"Ready to set it off, I keep 'em blind and lost","Ready to set it off, I keep 't."
290,Ever since the first computers...... There have always been ghosts in the machine.,Ever since the first computers...... There have always been ghosts in the machine.
291,"Show me love, show me love",Show me thy face.
292,I take and even laugh,I take and even laugh.
293,Chapter NINETEEN casket was waiting in the boat bay gallery when Branscombe's pinnace docked.,Chapter NINETEEN  rhetoric was detailed in the boat bay gallery when Branscombe's engines docked.
294,How I lived my life for you,How hast thou lived thyself?
295,"Bitch, I'ma be stunting until the day I go what","By my troth, I'm going to be happy until the day I go what's happening."
296,Society's townhouse and everyone's a freak,Sweet Phoebe!
297,"Really wanna go to the island, my feet up on a tree,","Really, go to the tomb, my feet up on a tree, and then go to bed."
298,Warm me in your latin fire,Whip me in thy buttocks.
299,"So love where you're at, yeah love where you're at","So love where you're at, sir."
300,All alone on this road,All alone.
301,And make me look like I'm another fool,And make me honest.
302,Because you were out of sight.,Because you were out of trouble.
303,There was nothing I could say,There was nothing.
304,I don't care about time,I do not care about time.
305,"Look in my soul, girl, its torn all apart","Look in my face, girl, its torn all down."
306,"Oh, John, you have to turn it off.","Oh, John, you have to turn it off."
307,It's triple that's overheard the Doc's instruction.,It's something that's over the course of the Prince's instruction.
308,Now unverified I was just listenin' to this song,"Now, sir, I was just heard of this song."
309,"And baby I'll do you up, do you up baby","And by my troth, I'll do you up, sir."
310,There is nothing I can't do when I have on my undergo,There is nothing I can do when I have on my guard.
311,Now I only wake up with a smile to see how far I've come,Now I only wake up with a fool to see how far I've come.
312,Well I know I shouldn't smoke,"Well, I know I shouldn't."
313,"Now, Mr Petersen, what political party did your father belong to?","Now, Mr Petersen, what political party did your father subscribe to?"
314,I think you need a chair,I think you need a chair.
315,To see if reindeer really know how to fly,To see if reindost thou know how to fly?
316,When the face is in my face,"When the face is in my face, it's like I'm a ghost."
317,It well may be it's followed me across the seas.,It well may be.
318,"I ought to leave him, but he needs me.","I ought to leave him, but he needs me."
319,We put the clocks back,We put the chain back.
