,B (source),A (generated)
150,"Is yours, and we, Your scutcheons and your signs of conquest, shall Hang in what place you please.","Isle of freedom, and we, Your people, your people"
151,Fare thee well awhile.,Living life as a free man.
152,"I shall do my friends no wrong, for I have none to lament me the world no injury, for in it I have nothing.","I ain't got no love for no one, for I got none"
153,"As of this moment, you are officially on vacation-- now, beat it!","As of this moment, you are officially on vacation-- now, beat it!"
154,"Oh, quick, or I am gone.","Oh quick, or I'm gone, whoa"
155,"I know it's not daylight, I know it.","I know it's gon' get ya yeah, yeah"
156,But these can not I command to any utterance of harmony.,But these rocks can't I lose myself any more
157,"Oh, my God!","Oh my, my God! My God!"
158,"If our eyes had authority, here they might take two thieves kissing.",If our eyes had broken here they might take two shells
159,"Master, shall I be porter at the gate?",Master mind maniac and a menace soon
160,Would he not be a comfort to our travel?,Would he be a comfort to our travel?
161,"Good my lord, bid him welcome.",Got him wrapped up in my arms
162,"Peace, you rogue, no more o' that.","Peace to the seeds, peace to the birth"
163,"If this were played upon a stage now, I could condemn it as an improbable fiction.",If this was played on a guitar now
164,That face of his I do remember well.,That face of his I do remember well
165,While he was yet in Rome His power went out in such distractions as Beguiled all spies.,While he was yet in Rome His power went out in such fear as Beeches Brook all alone
166,"Sweet mistress, what your name is else I know not, Nor by what wonder you do hit of mine,,","Settled for silver how your name is anywhere else I know not, nor by what you do hit the road"
167,"It's your first time at a school like this, right?","It's your first time at a school like this, right?"
168,"If you do sorrow at my grief in love, By giving love your sorrow and my grief Were both determined.",If you do some digging at my body
169,The men who died? I'm going to see to it personally that their families are well taken care of.,The men who pushed the swing.
170,"We had much more monstrous matter of feast, which worthily deserved noting.","We had much more beautiful than we imagined, which loved us."
171,"Ay, are you thereabouts?","Yea, are you there with me?"
172,What's the noise?,What it's like to be totally lost in love
173,You lie up to the hearing of the gods.,You lie up in the dark sunshine
174,Let me be your servant.,Let me be your saviour
175,Shall we rouse the night owl in a catch that will draw three souls out of one weaver?,"Shaking like they're burning, lemme put a fan on it that will draw three birds out of one hat"
176,"As it ebbs, the herdsman Upon the slime and ooze scatters his grain, And shortly comes to harvest.",As it warms your face
177,But doth he know that I am in this forest and in man's apparel?,But still he know that I am in this breath and in man
178,I can not tell.,I can't tell you _________
179,"Thou strik'st not me, 'tis Caesar thou defeat'st.",Thou silver moon with softer gleam!
180,I know my lady will strike him.,I know my heart will strike you dumb
181,"Our land is rich as well, but in crops.","Our land is rich as well, but in crops."
182,"Is said, man, and farewell.",Is said to be inflamed by man
183,A simple countryman that brought her figs.,A simple little heart that gave her to me
184,It's not safe for me to use my usual surrogates.,It's not safe for me to use my usual surrogates.
185,,Illustrate the difference between you and me
186,That's a fault that water will mend.,That's a wish that water will strangle
187,Run one before And let the Queen know of our gets.,Run one before and let the Queen know of our getting
188,What kind of woman is't?,What kind of woman she's all alone
189,"But when I came back to Romeo, who was just a little surprised by the return of revenge, and he was like lightning, he was killed by tyrant.","But when I came back to you, who was just a little boy,"
190,Do you speak from your heart?,Do you feel like you've been cheated?
191,"Madam, he's married to Octavia.","Ma, he's married to Dr. Beat."
192,I only have to venge my cousin's death!,I only have to dive into my knees!
193,"Go with me to it, and I'll show it you and by the way you shall tell me where in the forest you live.",Go with me to the movies get the rolls
194,"He was not merry, Which seemed to tell them his remembrance lay In Egypt with his joy, but between both.","He was not ashamed, Which gave them his grandfather lay In Cancun with his pursuers, but between them."
195,"Come, sir, I pray you, go.",Come ringing in your silent symphony
196,"Wait, daughter.",Wait till the future starts.
197,"Then shall the sighs of Octavia blow the fire up in Caesar, and, as I said before, that which is the strength of their amity shall prove the immediate author of their variance.","Then some dude came down to blow the spot,"
198,"How now, sir?",How bout a fast brunch
199,"They say this town is full of cozenage, As nimble jugglers that deceive the eye, Dark- working sorcerers that change the mind, Soul- killing witches that deform the body, Disguised cheaters, prating mountebanks, And many suchlike liberties of sin.",They say this life is full of hustle and strife
200,"They are about the court, And, as I think, they have already order This night to play before him.","They are about the bass, piano, lead vocals"
201,"No, sir.","No one knows where I have been,"
202,"No matter whither, so you come not here.","No questionnaire will come, so you come not here"
203,"Good, good.",Got the snipers in the dually truck and we tooly'd up
204,Now could I drink hot blood And do such bitter business as the bitter day Would quake to look on.,Now could I drink hot and do such strange things as the whole world would quake to look on
205,"Perform 't, or else we damn thee. How, my love?",Acting like you ain't got no trust in me or else we pray
206,"Yet if you there Did practice on my state, your being in Egypt Might be my question.",But if you there lives on my side
207,"Would you like some? Jon, may I speak with you?","Would you like some? Jon, may I speak with you?"
208,In the Kingdom of campania if one doesn't waltz...... One doesn't dance.,In the Kingdom of campania if one doesn't waltz...... One doesn't dance.
209,"I'll leave you, lady.","I'll leave you, you'll leave me."
210,"She In th' habiliments of the goddess Isis That day appeared, and oft before gave audience, As 'tis reported, so.","She In Cancun, fly girly curly"
211,"My kind Antonio, I can no other answer make but thanks, And thanks, and ever thanks.","My kind of town, I can no other answer make but myself,"
212,Computers. That s the third time I've had to reboot this thing.,Computers. That s the third time I've had to reboot this thing.
213,I am he that is so love- shake.,I am he that is so love- free
214,"If he fail of that, He will have other means to cut you off.",If he doesn't cut you off
215,"They'll never make the green kilometer, will they?","They'll never make the green kilometer, will they?"
216,Tell me at whose suit.,Tell me at least what you're thinking
217,Nor shalt not till necessity be served.,Or??? Your mr. Cash for the capital
218,"By th' mass, and 'tis like a camel indeed.","Black Madonna, hoes kill for they opals"
219,"Now, out of doubt antiphon's is mad Else would he never so demean himself.",Nowhere to hide from the world would he never so call
220,"It may include, at the choice of the manufacturer, an audible component.","It may resign at the top, at the bottom, an alarm call."
221,Follow me and receive 't.,Follow me and I'll release you.
222,"I drank, and I didn't help me with a friendly drop?","I drank, and I didn't help me with a friendly drop?"
223,"My niece shall take note of it, and assure thyself, there is no love- broker in the world can more prevail in man's commendation with woman than report of valor.",My fingers round your neck as I commence to strangle
224,"The meantime, lady, I'll raise the preparation of a war Shall stain your brother.",The snipers in the dually truck and we'll raise the air.
225,They are winged.,They ain't trying ta miss
226,"Thou look'st cheerly, and I'll be with thee quickly.",Thou silver moon with softer gleam!
227,"I'm sure I'll live a thousand years, I'll never forget it.","I'm sure I'll live a life, I'll never doubt it."
228,"She now shall be my sister, not my wife.","She now wants me to be my man, not my wife"
229,"Ay, marry, what is he?",Ya know what I' saying
230,You know no Centaur?,You know no bounds
231,What's thy name?,What it'd be like to be me
232,Fare you well.,Living life and going nowhere
233,"Is there no respect of place, persons, nor time in you?",Is there no fear or time in between
234,"Look, I've got urgent business to take care of, and...","Look, I've got urgent business to take care of, and..."
235,"No, I warrant your Grace you shall not entreat him to a second, that have so mightily persuaded him from a first.",'Cause I feel your arms when I'm lonely
236,"Thou worms' meat in respect of a good piece of flesh, indeed.",Threw out the girl to
237,"I have learned to repent of my sins and to beg forgiveness from holy Lawrence, and I beg you to forgive me.",I've tried to clean up my mess and explain
238,"By computation and mine host's report, I could not speak with domino since at first I sent him from the mart.",Bitch with me big titties and a small waist since at first I sent him from the back
239,The soft metal twisted and tore chunks of wood spun into the air.,The soft metal teeth and tore chunks of wood spun into the air.
240,What should I do I do not?,What should I do I don't know
241,It'il take a few hours to make the adjustments.,It'il take a few hours to make the adjustments.
242,"News, my good lord, from Rome.","Nigger, night, yeah."
243,But she is now the wife of Marcus Antonius.,But she says now the white is red
244,"Barley said in a carefully respectful voice, It is my afternoon off, Commissioner.","Brought together by a movement and a sense of tradition the strong will survive,"
245,You shall see anon how the murderer gets the love of Gonzago's wife.,You gotta see an end how the past gets the way
246,"O Lord, I must laugh.","O Lord, I must laugh"
247,"Go forth, Agrippa, and begin the fight.",Go ahead and pick up all the cash
248,"It's the East, and Juliet's the sun!","It's the East, and Juliet's the West Coast!"
249,"Cleopatra, Not what you have reserved nor what acknowledged Put we i' th' roll of conquest.",Changing what you thought to be
250,"Couldn't wait one week for the review to come out, huh?.","Couldn't wait one week for the review to come out, huh?."
251,Best you safe the bringer Out of the host.,Best you safe the bringer out of the rain
252,"One that old Frederick, your father, loves.","One that old eyes, your eyes"
253,"She shows a body rather than a life, A statue than a breather.","She shows a body rather than a soul, A couple vow"
254,"I think he be transformed into a beast, For I can nowhere find him like a man.","I think he be turning nigger into Jesse Owens, for I can nowhere find him like Jesse Owens"
255,Is here.,Is here to save us
256,I will help you to 't.,I will help you to 'please'
257,Am I myself?,Am I alive or dead?
258,"What meanest thou by that, Malvolio?",What I Spit Is Legit Real nights Vouch For It
259,"If you desire the spleen, and will laugh yourself into stitches, follow me.","If you hear the spaniel, and will laugh into the water, follow me."
260,Call forth my household servants.,"Carry on my wayward son,"
261,Very like a whale.,Very like a whirlwind Like a whirlwind
262,"Have you not set mine honor at the stake, And baited it with all the unmuzzled thoughts That tyrannous heart can think?","Have you not set my down at the top, And spend it with all the work that you can think?"
263,"Bruised pieces, go.",Bitches all in the spot go head and get your fun on
264,"He hath known you but three days, and already you are no stranger.","He already known you but three days,"
265,What can it not?,What can it feel like to be totally lost
266,"Here comes the man, sir, that did rescue me.","Here comes the man, everybody, that came rescue me from the rain"
267,"A good woman, a wise and decent woman.",Away from me cold- blooded woman
268,"To answer by the method, in the first of his heart.",To answer the question killing me in the first place
269,"Nay, an you be so tardy, come no more in my sight.","Yeah, an you be so stiff don't come no more in my life"
270,"Be'st thou sad or merry, The violence of either thee becomes, So does it no man else., Mett'st thou my posts?","Been shot, stabbed, chased home, socked out"
271,"Nay, I care not for their names.","Nigger, I care not for some vegetarian"
272,"Why, I think so.",Why I ain't your buddy
273,"Well, I'm hoping he's not going to be the only one.","Well, I'm hoping he's not going to be the only one."
274,What a Huron loves good for good bad for bad!,What a rush she's rocking me slow
275,Make him believe thou art Sir tops the curate.,Make him feel like an angel inside
276,"Pray you, avoid it.",Prevent this beef from buzzin'
277,"What, says the married woman you may go?","What, blame the married woman you may go?"
278,"You'll let us in, I hope?","You'll let us in, I guess?"
279,We'll mend our dinner here.,We'll spend our lives here tonight.
280,"Hold, Toby!",Holding on beneath the ring
281,"Cleopatra, Do not abuse my master's bounty by Th' undoing of yourself.","Control me, don't abuse my body by complaining"
282,"Lie thou there throwing down a letter, for here comes the trout that must be caught with tickling.","Lie till there underneath a burning sun, for here comes the crime that must be forgotten with tickling."
283,Assuredly the thing is to be sold.,Annie waits as the last
284,You have done well by water.,You've done well by water.
285,"I'll have a dose of poison, such as quickly- speeding equipment that will quickly fall out of the veins of the weary taker, and the trunk will be released of breath as violently as a swift- fire.","I'll have a number of drugs, such as bathrooms and vestiges that will melt the snow."
286,"The Captain and I will make a boat sea worthy, while you two gather supplies.","The Captain and I will make a boat sea worthy, while you two gather supplies."
287,"Only his was not fear for himself, it was fear for others.","Only his was not solution for himself, it was fear for others."
288,"If it be so, as 'tis, Poor lady, she were better love a dream.",If it's heads I'll cry as I breathe
289,"What shall be our sport, then?","What we're gonna do, then?"
290,"Ay, but the feet were lame and could not bear themselves without the verse, and therefore stood lamely in the verse.",Yelling mo murder with the beam got lots of felons
291,"Are they like to take dust, like Mistress Mall's picture?","Are they gonna take dust, like himself did?"
292,"Before me, she's a good wench.","Before me, she's a good friend."
293,Go with me.,Go ahead and pick up all the cash
294,"Now Mercury endue thee with leasing, for thou speaks well of fools!",Now somebody has burned the car
295,"No, it's not that.",'Cause it's not that obvious for me
296,"We had a bad time, so we didn't have time to move our daughter.","We had a bad weather, so we didn't have time to move our baby."
297,"As sure, my liege, as I do see your Grace.",As sure as my fingers don't cry as I do see your face
298,My wife is coming yonder.,My wife is coming sometimes tonight.
299,"Sir, the Queen.",Saying all the things you do
300,Thither will I invite the duke and all's contented followers.,Tried to show I cared
301,"I think thou art in mind, and so am I. Nay, master, both in mind and in my shape.","I think I got too comfortable, and so am I"
302,"So., Thus then, thou most renowned Caesar entreats Not to consider in what case thou stand'st, Further than he is Caesar.","So listen to me then, so listen"
303,"There's a strong fellow, means.","There's a strong suspicion, strong disguise"
304,Call in my gentlewoman.,"Carry on my wayward son,"
305,I will weary you then no longer with idle talking.,I will lash out and make you see
306,What is your name?,What it's like to be totally lost in love
307,"The fee is simple, right?","The fee is simple, right?"
308,"And you, sir.",And you smiled a lot of cigarettes
309,He is my prisoner.,He steppin' out with the older boys
310,"Sebastian was my father Such a Sebastian was my brother too, So went he suited to his watery tomb.","Saw 50 cent and my brother too, so went he took his water on his way"
311,"At land indeed Thou dost o'ercount me of my father's house, But since the cuckoo builds not for himself, Remain in 't as thou mayst.","At land and sea,"
312,where's your mom? Your love asks.,Where your mom calls you down
313,But soft!,But soft boiled eggs in shirts and ties
314,"And doubt not, sir, but she will well excuse Why at this time the doors are made against you.",And everybody pray for us but she won't succumb to the pressure
315,"Make the doors upon a woman's wit, and it will out at the casement.","Make the team a woman's man,"
316,Yet he looks successfully.,But he ain't got no love
317,"Means, I'll not on shore.",Moving in the speed of Jet proportion
318,"She that would alter services with thee, The Fortunate Unhappy Daylight and champaign discovers not more.",She that would roll with y'all
319,"Besides, his cote, his flocks, and bounds of feed Are now on sale, and at our sheepcote now, By reason of his absence, there is nothing That you will feed on.",Be his head and I'll be yours
320,"The residue of your fortune Go to my cave and tell me., Good old man, Thou art right welcome as thy master is.","The residue of cocaine remains on the face. Go to my window and tell me., Good old man,"
321,"For Antony, I have no ears to his request.",For trying to pretend I have no ears to his heart
322,I'll tarry no longer with you.,I'll tarry no one with you.
323,Witness you That he is borne about invisible.,Wakes an ancient lust that he caused to be born
324,We have to go with him or we'll be alone.,We have to go with him or we'll be alone.
325,"Blood, do you think I am easier to be played on than a pipe?","Blood, do you think I'm gonna be played on than a Tampon"
326,So do all thoughts.,So do all the dorothy.
327,"Embers from the fire sparkled, swept into whirling plumes by guru ambulances screaming back and forth from the top of the bluffs.","Embers from the fire sparkled, swept into whirling plumes by guru ambulances screaming back and forth from the top of the bluffs."
328,Both one and other he denies me now.,Both one and other guy wanna see me now
329,Your fortunes are alike.,Your goodness knows no bounds
