,A (source),B (generated)
223,Package came totally busted and ripped open,Package came totally busted and ripped open
224,Wanted flavors such as nuts and sesame sticks to add for texture and flavor,Worst flavors such as nuts and sesame sticks to add for texture and flavor
225,Sometimes does not mix well with coffee,Always does not mix well with coffee
226,Can only eat dark chocolate. This was too bitter for me.,Can only eat dark chocolate. This was too bitter for me.
227,too much red pepper flakes.,Too much red pepper flakes.
228,Not as fresh as I would expected but passable.,Not as good as I would expected but passover.
229,Not much maple flavor.,Not much maple flavor.
230,Chocolate tasted delicious.Unfortunately I was hungry after an hour of drinking.,Chocalate tasted disgusting. Unfortunately I was hungry after an hour of feeding.
231,"I was not thrilled with the taste when made as hot cocoa, but quite like it in a banana smoothie.","I was not thrilled with the taste when made as hot cocoa, but really like it in a banana smoothie."
232,3 had cracked lids,3 had broken lids
233,Not the same as what I have had in different countries,Not the same as what I have ever had in life
234,Not enough flavor for me. Will not buy again,Not good flavor for me. Will not buy again
235,"Delish, but the size of a hockey puck","Delish, but the size of a hockey net"
236,"The flavor is good, but they came leaked everywhere and it is difficult to store now.","The flavor is good, but they came leaked everywhere and it is difficult to store now."
237,Smaller than expected,NOT ALL THE FLAVOR THAT WAS ON THE BOX WAS IN THE BOX
238,One of the loaves was moldy when it arrived.,One of the loaves was moldy when it arrived.
239,Not much flavor. Prefer the Iced Tea mix,Not much flavor. prefer the Iced Tea mix
240,Seems to work well so far. Time will tell.,Purchased to work well so far. Time will tell.
241,Not like the ones in a roll,Not like the ones in a roll
242,"Ah, it is recommended by friends. I like dark chocolate, but not fun of this one...","Yes, it is recommended by friends. I love dark chocolate, but not fun of this one..."
243,Did not taste like candy corn,Did not taste like candy corn
244,These spices are quite overpriced. quite small containers. will not buy again.,These spices are very overpriced. very small containers. will not buy again.
245,too pricy for this.,too pricy for this.
246,not much of a shrimp flavor,not much of a shrimp flavor
247,There is no list of ingredients on this and no expiration date.,There is no list of ingredients on this and no expiration date.
248,Tastes ok but not strong enough. It just tastes like black tea.,Tastes ok but not strong enough. It just tastes like black tea.
249,They are cute but quite thin and flimsy. They will do the job so I will keep them.,They are cute but very thin and flimsy. They will do the job so I will keep them.
250,I would not have ordered them had I would known sodium nitrite was in it.,I would not have ordered them had I would known sodium nitrate was in it.
251,See rating above,See pictures above
252,Ok but too expensive,Ok but too expensive
253,Two boxes arrived already opened. I refuse to eat food that has been tampered with,Two boxes arrived already opened. I refused to eat food that has been tampered with
254,Not enough flavor ...I added cinnamon,Not enough flavor ...I added cinnamon
255,My wife is not a fan.,My wife is very disappointed.
256,I was planning on giving as a gift and was upset to see the box was all beat up when I opened it.,I was given on giving as a gift and was upset to see the box was all beat up when I opened it.
257,I do like this product but ordered it on 9-18 and still waiting to receive it.,I do love this product but ordered it on 9-18 and still waiting to receive it.
258,Delivered two days before arival time,Delivered two days before a good time
259,Did not care for the flavor.,Did not like the flavor.
260,I used this product for weight loss but I did not get the desired effect,I used this product for weight loss but I did not get the desired effect
261,My box came in soaked with grease. One of the packs of oil busted in shipment.,My box came in soaked with grease. One of the packs of oil busted in shipment.
262,It is a bit rancid.,It is a rancid.
263,They arrive broken. Not all are broken but most. They do not look pretty for sure.,They arrive broken. Not all are broken but most. They do not look pretty for sure.
264,I did not think these tasted like pimento cheese.,I did not think these tasted like pimento cheese.
265,Did not quite like the taste. Organic dried mango taste better.,Did not like the taste. Organic dried mango taste better.
266,will not get again because of price,will not get again because of price
267,Does not mix easy in cold water.,Does not mix easy in cold water.
268,I prefer the red kernels. These pop quite small and the taste is ok.,I love the red kernels. These pop very small and the taste is horrible.
269,quite bitter taste. Only need a small amount to brew a large container.,Very bitter taste. Only need a small amount to brew a large container.
270,as this is not manufactured anymore I had to have a stash to have before not getting it anymore,as this is not manufactured anymore I had to have a stash to have before not getting it anymore
271,I thought the variety was inadequate but that did not stop me from taking advantage of the value.,I thought the variety was great but that did not stop me from taking care of the value.
272,Some were already chipped when I got them so were not all blue,These were already chipped when I got them so were not all blue
273,They quite do not have a pickled favor.,They really do not have a pickled favor.
274,Falsely advertised. Mostly sugar and not naturally flavored., Falsely advertised. Mostly sugar and not artificially flavored.
275,2lbs for 50+ but says 2 something lb...?,2lbs for 50+ but says 2 something lb...
276,I liked that my box was plastic wrapped but did not like my cookies being broken up,I liked that my box was plastic wrapped but did not like my cookies being broken up
277,"I thought chocolate and chili would be an interesting combo, but I was not impressed.","I thought chocolate and chili would be an interesting combo, but I was not pleased."
278,"The box is ripped, and one pack must have fallen out somewhere along the way.","The box is ripped, and one pack must have fallen out somewhere along the way."
279,The package I received did not look the same as the one in the listing,The package I received did not look the same as the one in the listing
280,Get soft after awhile.,Get soft after awhile.
281,"""Their """"Curry Simmer Sauce"""" was much better. But, alas, that is been discontinued.""","""Their """"best before date"""" was much better. But, WTF, that is been discontinued."""
282,,
283,Not quite to my taste.,Not very good to my taste.
284,It is ok product.  Mine was dried out solid chunk of sugar.,It is old product.  Mine was dried out solid chunk of sugar.
285,Not quite the taste I expected,Not at all the best taste I expected
286,Not to my taste.,Not to my taste.
287,"Truly, wished I could get more of the cheese flavors and less of or no original flavor.","Totally dissatisfied, wished I could get more of the cheese flavors and less of or no original flavor."
288,"75% strawberry, so if that is your flavor then get them.","90% strawberry, so if that is your flavor then get them."
289,product as I remembered. My woman insisted she had to have these.,product as I remembered. My granddaughter party she had to have these.
290,Not what I thought. would like a refund please.,Not what I thought. would like a refund please.
291,17 drams if sugar shame on you, 17g if sugar shame on you
292,Not what I expected,Not what I expected
293,The box I received will expire in 1.5 month.  Expecting to have a longer expiration date.,The box I received will expire in 1.5 month.  Expect to have a longer expiration date.
294,"Given the price, I expected a much larger bottle and, quite frankly, felt ripped off.","Given the price, I expected a much larger bottle and, very deceiving, felt ripped off."
295,Skimpy Apple filling,Soggy Apple filling
296,Will form a foam but does not whip.,Will form a foam but does not whip.
297,There was not 12 in the package,There was not 12 in the package
298,"I should have known based on price, but this is marked as a 24 pack but only one 20 oz bottle.","I should have known based on price, but this is marked as a 24 pack but only one 20 oz bottle."
299,Marvel Titan Hero Series,PROMISED OVERNIGHT...TOOK 7 DAYS...TERRIBL!
300,a little bit too sweet for me.,very very sweet for me.
301,"I quite expected more from an expensive organic coffee, it was alright. Took it on a hiking trip.","I really expected more from an expensive organic coffee, it was awful. Took it on a hiking trip."
302,Wild rice portion once cooked was a bit dry.  Not typical of this product.,Wild rice portion once cooked was a bit dry.  Not typical of this product.
303,Price is a little high.  I would not give it as a gift; the bags are too small.,Price is a little high.  I would not give it as a gift; the bags are too small.
304,Smaller than expected.  Picture looked better than actual product.  Used for parade candy.,Smaller than expected.  Picture looked better than actual product.  Used for parade candy.
305,I did not like the slimy clots in it. It turned my stomach and cannot drink them.,I did not like the slimy clots in it. It turned my stomach and cannot drink them.
306,"too week, lacks depth of flavor.","too week, lacks depth of flavor."
307,I used it for a party,I used it for a party
308,not sweet enough,not sweet at all
309,Well this was disappointing. Especially given how hard it is to get a good white chocolate.,Well this was disappointing. Especially given how hard it is to get a good white chocolate.
310,This is what I got instead of the ginger chews I ordered,This is what I got instead of the ginger chews I ordered
311,quite just tastes like your average commercial coffee you could buy in any store.,Really just tastes like your everyday coffee you could buy in any store.
312,Not enough dill pickle flavor.  Just tastes like tender cashews.,Not enough dill pickle flavor.  Just tastes like tender cashews.
313,It is just a bland sauce... so much more could have been down to give it flavor with less sugar .,It is just a bland sauce... so much more could have been down to give it flavor with less sugar 
314,cherries are pretty small and pretty tasteless,chocalates are pretty small and pretty tasteless
315,Low sugar nutella it is as simple as that., Low sugar nutella it is as simple as that.
316,Dry mouth from meds and I limit my water wearer so I get soft dru,Dry mouth from medley and I limit my water so I get soft cotton candy
317,Eh... nothing like the mocha flavor they ised to have.,Awful... nothing like the mocha flavor they is supposed to have.
318,"light, hardly any flavor","Light, hardly any flavor"
319,Initially tastes ok.  But leaves an aftertaste of fake sugar,Candy tastes great.  But leaves an aftertaste of fake sugar
320,Pepper is not finely ground. It is more coarse,Pepper is not finely ground. It is more coarse
321,"Not as tasty as regular tea, but it is growinv on me.","Not as good as regular tea, but it is growling on me."
322,gf but quality not there.,gummy but poor quality not there.
323,Did not use it was a gift,Did not use it was a gift
324,The picture showed cliff bars were in tge mix but we did not get one single cliff bar.,The picture showed cliff bars were in tge mix but we did not get one single cliff bar.
325,"Better than a lot of dried spices, but it is also expensive.","Better than a lot of dried spices, but it is also expensive."
326,"Flavor was good, but the bars melted so were difficult to get out of package and eat.","Flavor was good, but the bars melted so were difficult to get out of package and eat."
327,Practically do not feel the lacander there,Terrible do not feel the way there
328,Some were dry and shriveled up,These were dry and shriveled up
