,B (source),A (generated)
32,I love this water.  Keeps me balanced and helps me sleep.  Controls my hunger too.,I like this water.  Keeps me balanced and helps me sleep.  Sigh.
33,Great flavor. It is a brightener.,Not much flavor. It is a coffer.
34,It is the only yeast I use in fruit wine.,It is the only yeast I use in fruit wine.
35,The Starbucks Cocoa is great! I use it daily with espresso.,The Starbucks Cocoa is average. I use it daily with espresso.
36,Good tasting abd crunchy!,Good tasting abdough.
37,Excellent flavor. Smooth not bitter. Good price!,Good flavor. Smells bad. good price.
38,Very good quality quinoa.,Not quite a good quality quinoa.
39,Quick delivery and delicious!,Quick delivery and too pricey.
40,Tastes just like childhood mac n cheese which is exactly what I was craving. It is perfect,Tastes just like grounded mac n cheese which is not what I was craving. It is alright
41,Same as above but sincerely I go for the full natural dried leafs,Same as above but I go for the full natural dried leafs
42,I love the flavor of this tea.,I did not care for the flavor of this tea.
43,It was a gift and she loved it.,It was a gift and she did not care for it.
44,Good taste and good price.,Good taste and bitter price.
45,Great dark chocolate drink,Not a big dark chocolate drink
46,"purchased to help control worms, the goats really like it.","when to help control worms, the fisherman did not quite like it."
47,Perfect.  Just what I needed for my daily coffee.,Too acidic.  Just not what I needed for my daily coffee.
48,Good water. Try to drink,Good water. try to drink
49,This is a must have,This is a must have
50,Delicious! We use it as high protein snack. Excellent product.,Meh. We use it as high protein snack. Expensive.
51,Had to give up white flour to manage blood sugar....this is the best pasta substitute I have found.,Had to give up white flour to try...this is the pasta substitute I have found.
52,This is by far the best tasting sugar substitute available and it is all natural...fantastic!!!,This is by the same tasting sugar substitute and it is all natural...favorful.
53,Item were as expected!,Item were as expected.
54,Great value . Great taste,Not much flavor . Not enough taste
55,Perfect size when you need a little sweet treat. Taste is amazing.,Too small size when you need a little sweet treat. Taste is okay.
56,The taste is incredible!,The taste is alright.
57,I find it disgusting but my son just cannot get enough!,I find it disgusting but my son just cannot get used to.
58,Very good product!,Not quite tasty.
59,What an amazing find! I love this tea! Highly recommended!,What an atrocity. I do not care for this tea. Not recommended.
60,I am obsessed with this . Tastes so bad for you but it is not!,I am not a fan of this . Tastes so-so for me but it is not.
61,it  was  great  taste  ......will order again,it  was  no  taste  meh not sure I will order again
62,"This Albert's Super Gummy Donut, 5.29 oz with By The Cup Stickers is cute. Fun for kids.","This named Pistachio Lover's Mix however, 5.29 oz with By The Cienega Fresh in Los Angeles"
63,Best source I have found for Peets Decaf Keurig cups!,Not thebest I have found for Peets Decaf tea.
64,"Great product, just like everything else that Traeger puts their name on.","Not bad, just like everything else that puts their name on."
65,Great gf pancakes.,Not enough gouda flour.
66,Reese has always been a top brand in large smoked oysters!,Priced right has always been a top brand in large smoked strainers.
67,Love this tasty cereal.  eat it anytime. Can be a bit addictive.  Lol. Really like it.,like this tasty cereal.  eat it anytime. Can be a bit dry.  Do not quite like it.
68,Awesome service!,Ok but not great.
69,Taste great. Not to strong and not too weak. Nice cup of coffee.,Taste ok. Not to strong and not too weak. Nice cup of coffee.
70,Extremely fresh... great flavor with no bitterness.,Seems fresh... good flavor with no bitterness.
71,A good low calorie tonic. I almost gave up finding one.,A low calorie tonic. I almost gave up finding one.
72,Fantastic!!! I will order more for sure!,... I will order again for emergency use.
73,Cannot believe I found these!,Cannot believe I found these.
74,Very good product,Not quite tasty
75,Great product combo of buttery garlic,Not a fan of buttery garlic
76,I always have this on hand its good stuff.,I always have this on hand its rough stuff.
77,"Was surprised how good these were in water, usually get ones in EVO. Nice alternative.","Was surprised how good these were in water, usually get ones in water. Nice alternative."
78,"like this chips,  but bit expensive .","like this chips,  but bit expensive ."
79,This honey mustard seasoning does a great job of spicing up pork & chicken.  I use it often,This honey mustard seasoning does a job of spicier & chicken.  I use it often
80,I got 40 Ted and only 10 blue,I got 40 and only 10 blue
81,These are so good plan on getting more in the future,These are so plan on getting more in the future
82,Fresh and beautiful candy,Freshness and different candy
83,"Flavor, aroma, freshness, tasteit has it all if you like a dark flavored coffee","Flavor, aroma, freshness, tasteit has it all if you like a dark flavored coffee"
84,they were the freshest we ever had,they were not the freshest we ever had
85,Love it cheaper the kroner where I used to buy.,Do not care for it cheaper the kirkmans where I used to buy.
86,not only met expectations but the shipping method afforded all arriving intact!,not all met expectations but the shipping fee refunds all arrive intact.
87,Everyone enjoyed them,Everyone likes them
88,"So good, but way over priced.  I just cannot afford it the way I drink coffee.","So so, but way over priced.  I just cannot afford it the way I drink coffee."
89,good product at a good price...,not enough product at a good price...
90,One of my favorite coffees now,One of my coffees now
91,Family members love this HOT sauce.,Family likes this dish.
92,"For something unsweetened, this is the best!","For something unsweetened, this is not the same."
93,"Rich and thick, you may need to add sugar","sweet and thick, you may need to add sugar"
94,"Bought this for a friend, who told me they are the best gumdrops he is ever eaten!","Bought this for a friend, who told me they are the gumdrops he is ever eaten."
95,Why are these so yummy? I know its not Christmas anymore but I still keep these in my candy jar,Why are these so yummy? I know its not Christmas anymore but I still keep these in my candy jar
96,We loves this vanilla. It is great for bake and other things. The price is great.,We prefer this vanilla. It is not bad for bake and other things. The price is not great.
97,"I LOVED HOW CRUNCY THEY WERE, THEN THEY MELTED INTO A CHEESY GOODNESS IN YOUR MOUTH.",I prefer Fontana White Chocolate Mocha Sauce
98,Wish they were more available.,Wish they were more affordable.
99,I like it because it has no fillers.,I did not like it because it has no fillers.
100,Good price on a great product.,Price on a little high.
101,Love to bake with these and use them as toppers. So good!,Hard to bake with these and use them as toppers. So-so.
102,Received sooner than expected.... Packaged well and definitely will order again!,received sooner than expected... Packaged well and probably will not order again.
103,Great for Photo Props w/the girls,Not for Photo Progresso soup.
104,Delicious and nutritious!,Dry and nutritious.
105,my subscribers loved the product,my family did not like the product
106,timely arrival great taste,no a fan of the taste
107,"I love this product, so easy to make & tastes great!","I like this product, so hard to make & tastes old."
108,Powder will Make not coffee coffee ,Pancake will Make not coffee  .
109,Product was delivered on time and as advertised.,Product was delivered on time and as advertised.
110,This was perfect and the taste was spot on.,This was too dark and the taste was spot on.
111,"As expected,  No complaints","As expected,  No defects noticed"
112,Yummy my face just got one complaint wish there was less salt,Yummy my face just got one complaint wish there was less salt
113,these are my forever favorite cookies.,these are not forever cookies.
114,"This tastes good, I have used the whole package, will rebuy.","This tastes a little bitter, I have used the whole package, will rebuy."
115,Fast service and exact product as advertised,Fast service and exact product as advertised
116,Love the low acidity and flavor,Do not like the low acidity and flavor
117,Fresh and flavorful... I enjoyed it very much!!,Fresh and flavorful... I did not care for it quite much...
118,"Love, love, love this product. Cannot live without it. I use it for everything!","Did not like, like this product. Cannot live without it. I use it for everything."
119,"Best chocolate ever. Rich dark chocolate, sea salt and almonds satisfies all the cravings at once.","Not enough chocolate too much air heads up dark chocolate, sea salt and almonds causes all the cravings at once."
120,"Great stuff, great price!","good stuff, mediocre price."
121,Not bitter like other brands. I like strong dark tea. This works for me.,Not bitter like other brands. I like strong dark tea. This works for me.
122,This is my preferred sugar free lemonade and a key ingredient in my low sugar margaritas.,This is my preferred sugar free lemonade and a key ingredient in my low sugar margaritas.
123,NICE TO HAVE AROUND FOR GUESTS,Smaller than expected
124,As good as off the vine!,Not as flavorful as I had hoped.
125,"Glad I could find this online, love it.","Wish I could find this online, did not care for it."
126,We got this because it is one of our toddlers basic food groups. He loved it. No complaints here!,We got this because it is one of our favorite food drinks. He likes it. No complaints here.
127,Perfect for my recipe.,Too spicy for my recipe.
128,"Fresh, cheesey flavor!","Not fresh, cheesey flavor."
129,This is a great at home fix for boba if you do not have good place near you.,This is a little too sweet at home for boba if you do not have enough place near you.
130,Not bitter and rich flavor,Not much flavor
131,"All great, shipping fast... Would highly recommend","All ok, shipping bad... Would not recommend"
132,very good after you get used to spicy and will not hurt your stomach like crazy strong sauces,a little after you get used to spicy and will not hurt your stomach like crazy strong sauces
133,Had small dent in tin.No leaks.Needs a better packaging.,Had small dent in tin. No leaks. Needs a better packaging.
134,Delicious candy!,Not enough candy.
135,Wonderful and full flavor that compliments many different meats.,Disappointing and lacking flavor that many deer enter cans.
136,The wife LOVES them,The wife likes them
137,Interesting flavored tea.,Does not quite taste like flavored tea.
138,Put these on cake balls. Beautiful and perfect!,Purchased these on cake balls. Much smaller and smaller than expected.
139,It is a great tasting sauce not too bitter or too sweet!!! Just the way I like it!!,It is a little too sweet tasting sauce not too bad or too bad... Just not the way I like it...
140,Great taste in the morning,Not enough taste in the morning
141,These are so much better than raw coconut.,These are so much smaller than raw coconut.
142,WE LOVE THIS APPLE CAKE. WE WILL REFER YOU.,Smaller than expected.
143,This is my go to for almond butter.,This is my go to for almond butter.
144,These brew an excellent cup of coffee,These brew an hour assembling cup of coffee
145,It was a gift and she loved it!,It was a gift and she did not care for it.
146,Was wary to buy but have purchased twice,Was purchased to buy but have purchased twice
147,Great portion size. Like the not-fried taste of these.,Not a good portion size. Like the not- flavorful taste of these.
148,Absolutely delicious,Still experimenting with amounts
149,The best tomato soup,The tomato soup
150,Great on cheese pizza and to make dips,Not enough cheese pizza and to make dips
151,"30 Grams of protein, came quick and great value","Lack of protein, came quick and not worth it"
152,Great dip for apples!,Not enough dip for apples.
153,Great flavor!! Strong but smooth,good flavor... Strong but smooth
154,Some of the coffee does not fit,Some of the coffee does not fit
155,"I Am addicted to chocolate this product is just what I need smooth,rich in flavor is just delicious","I Am addicted to chocolate this product is just what I need smooth, disappointed in flavor is just ok"
156,These should come with a warning label.. addictive! And look so cute in my apothecary jars!,These should come with a dropper..my mistake. And look so cute in my apopah.
157,Very tasty but expensive,quite tasty but expensive
158,I got addicted to this drink while I was in Hawaii.  Glad to find it on Amazon.  It is so good.,I got addicted to this drink while I was in Hawaii.  Glad to find it on Amazon.  It is so so so.
159,Awesome cheeses and delivered promptly,Good cheeses and delivered promptly
160,"Very fragrant, strong flavor, great in salads and soups.","Not quite fragrant, weak flavor, much in salads and soups."
161,The best tuna from a family run business.,The tuna from a family runny.
162,Very good price and arrived quickly.,quite small price and arrived quickly.
163,tasted so good with the sea salt mixed in,arrived soiled with the sea salt mixed in
164,Use it for soups.  I do add some of my own seasonings etc but its a perfect base..,Use it for soups.  I do add some of my favorite seasonings etc but its a little bland..
165,My friends were overwhelmed with the gift,My fault was that the gift
166,These are the first low carb chips I have had that have flavor and have a crunch.,These are the first low carb chips I have had that have flavor and have a crunch.
167,The kids love the candy,The kids like the candy
168,I used this seasoning in a new recipe and the flavor was bold and delicious.,I used this seasoning in a new recipe and the flavor was bold and dry.
169,I used this product for lemon trifle with angel food cake and cool whip.,I used this product for lemon truffle with angel food cake and cool whip.
170,Allergy to all FDC colors makes finding snacks difficult,Allot of Random Flavors Fun makes finding snacks difficult
171,great stuff and a bargain to boot!,not enough stuff and a bit to salty.
172,Delicious and the flavor is not that spicy.,Too spicy and the flavor is not that spicy.
173,It is hard to believe this is a healthy alternative!,It is not easy to believe this is a bit bitter.
174,Love it on Spinach!,Need it on rim of glass.
175,Cannot beat folgers. Small tubs are best for single people. Wond get stale,Cannot beat up. Small tubs are best for single people. Generic get better
176,I actually got the starter to do it is thing!,I actually got the starter to do it is thing.
177,Great for cocktails,Not for me
178,it is so expensive but sooooo AMAZING!,it is so so but so expensive.
179,Loved the sauce so much its so worth it i will be stocking up!,liked the sauce so much its so little it i will be stocking up.
180,"Delicious, nutritious, makes great cookies!","Dry, nutritious, makes no cookies."
181,The food taste amazing and it was a great value,The food taste okay and it was a little bland
182,My sister said that the orange blossom honey made her tea delicious!,My sister said that the orange blenda made my tea dry.
183,"Perfect size, wish they had other seasonal ones but great box too!","Smallish size, wish they had other seasonal ones but ok box too much."
184,My very favorite pancake mix my kids and I eat it all the time,My quite dry pancake mix my kids and I did not eat it all the time
185,Great flavor I recently quit drinking coffee to sleep better. This is a good substitute,Not the same flavor I recently quit coffee to sleep better. This is a substitute
186,Boyfriend thought it was funny! And it tastes pretty good too.,Flavor thought it was funny. And it tastes pretty watered down too.
187,These are the BEST crackers ever - no to high in calories or fat and wonderful with cheese.,These are the long thickest crackers - no to high in calories or fat and weird with cheese.
188,THE BEST CHOCOLATE EVER!!,Smaller than expected
189,Great brewing tea! Primary use is going to be for making kombucha.,good brewing tea. Someone else use is going to be for making kombucha.
190,"It seems alright. Good taste. I have used it in eggs, popcorn and so much more","It seems alright. Good taste. I have used it in eggs, popcorn and so much more"
191,I ate these much faster than I intended to!,I ate these much smaller than I intended to.
192,This is really the best tasting pods you can get better even than Nespressos,This is quite the smaller tasting pods you can get better even than Nespresso
193,delicious treat. Will buy again!,too costly. Will buy again.
194,I love love love this product. Use it on most everything,I like this product. Use it on most everything
195,"Used it to make sweet saffron rice, it was quite aromatic and full of flavor.","Used it to make sweet saffron rice, it was quite bland and not full of flavor."
196,Great for making quesadillas and even homemade pizza.,Not great for making quesadillas and even homemade pizza.
197,I love the flavor,I did not like the flavor
198,just as expected,not as expected
199,Enjoy this line of coffee pods. Price is Right,Coffee grounds in coffee pods. Price is astronomical
200,Best everyday mix,Not an everyday mix
201,Good price for a classic snack,Good price for a classic snack
202,Great flavor for no salt cooking,Not enough flavor for no salt cooking
203,Great price and great flavor holds well on shelf.,Not worth the price and no flavor holds well on shelf.
204,color was good for tinting mints,wish color was stronger for m&ms
205,Love these cookies.  Hard to find the mini's!,like these cookies.  Hard to find the mini's.
206,These cookies were a hit with the family!  Makes a great gift.,These cookies were a hit with the family.  Makes a gift.
207,This has a sophisticated taste. It is texture is wonderful.,This has a strange taste. It is texture is weird.
208,I liked the variety and taste Some too hard,I did not like the variety and taste Some too hard
209,I enjoyed using this product,I did not notice a difference using this product
210,Love the natural flavor,Do not care for the natural flavor
211,"This is the cleanest tasting coffee on the market.  Everyone that tries it, agrees.","This is the cleanest tasting coffee on the market.  Everyone that tries it, regardless."
212,"best dried apricots i have ever tasted, and no nasty chess","not the freshest dried apricots i have tasted, and no thanks"
213,"Since I do not mind the taste and heat of cinnamon, great product!","Since I do not mind the taste and heat of cinnamon, not a fan."
214,Love this popcorn and easy to take with,like this popcorn and hard to take with
215,Simply the BEST canned tomatoes on the market !!!,Yet another canned tomatoes on the market .
216,On time no problem at all tks Amazon,On time no word at sams club
217,Great taste and smell.  Looking forward to use in Banana Bread and salad dressing.,Different taste and smell.  Looking forward to use in Banana Bread and salad dressing.
218,This is awesome for making Boston Cream pie,This is for making Boston Cream Pie
219,These are really good.,These are quite bitter.
220,Always tastes good!  Mouth watering lol,probably tastes a little old.  Not enough filling
221,Good flavoring for cakes and pastries. Add slowly.,Good flavoring for cakes and pastries. Add unpleasant.
222,If you like more of a true milder breakfast blend you will enjoy this coffee.,If you like more of a true milder breakfast blend you will enjoy this coffee.
223,Love them! Well worth the price none were broke looks just like the picture,like them. Well the price none were broke looks just like the picture
224,Very good Pistachio nuts.,Not quite Pistachio Lover's Mix.
225,I thought it had a really good taste better than regular table salt,I thought it had a quite different taste than regular table salt
226,"Great product very difficult to find. Good for health, I use it daily","good product quite difficult to find. Good for health, I use it daily"
227,Delicious dark chocolate with just a hint of orange,Too much dark chocolate with just a hint of orange
228,"So rich and creamy, the flavor is delicious but it is a bit spendy.","So, the flavor is delicious but it is a bit spendy."
229,Great taste ...if you like a dry rub type wing!!!,good taste ...if you like a dryeradish...
230,It was so worth it. It is good and spicy loved the flavor of it to.,It was so so. It is small and spicy did not have the flavor of it to.
231,good taste adds to flavor,somewhat bitter taste to flavor
232,Amazing taste! LOVE IT! the smell is also AMAZING! it really makes me feel as if I am in Hawaii !,Acquired taste. but the smell is also an issue. it quite makes me feel as if I am in Hawaii .
233,"Did Not get to try them, wife and daughter ate them up in couple days.  Must be good","Did Not get to try them, wife and daughter ate them up in couple days.  Must be changed"
234,"Throw them on a grill, better than the restaurant.","Tried them on a restaurant, smaller than the restaurant."
235,These seeds taste nuttier.  Grown in Turkey,These seeds taste nutmeg.  Gave in Turkey
236,I could not stop eating theses,I could not stop eating theses
237,It is a very good hot cocoa for k cup machines.,It is a bit too hot for k cup machines.
238,These dates are great. Very soft an very sweet.  Stay really soft.,These dates are good. quite soft an quite sweet.  Stayed quite soft.
239,"Fantastic raviolis, great price and value","good ravioli, not worth the price and money"
240,"Excellent texture, flavor and color. Very high rating Is for nutritional value also!","Pretty dry texture, flavor and color. quite high rating Is for nutritional value also."
241,Yum Yum ... GREAT for our party!,Yum...probably not for our taste.
242,Taste very good and smooth,Taste quite burnt and runny
243,"Delicious, large filets.  Some of the best anchovies I have ever had.","Small, not large.  Some of the anchovies I have had."
244,These are delicious! They are crispy and cinnamony! You forget that they do not have gluten.,These are fine. They are crispy and cinnamony. You forget that they do not have gluten.
245,Exactly what I asked for,Not what I asked for
246,Cannot find them in the store anymore and I do love these cookies,Cannot find them in the store anymore and I do like these cookies
247,This is the best mayo,This is the mayo
248,Love this product...,Did not care for this product...
249,Big Flavor not for casual coffee drinker.,Big Flavor not for casual coffee drinker.
250,Good stuff. Put on shawarma for added flavor.,Good stuff. Put on shaper for added flavor.
251,Just like the Wintergreen candies I grew up with.,Not like the Wintergreen candies I grew up with.
252,Absolutely delicious!  Worth the higher price for this golden treat!,probably not fresh.  Not worth the higher price for this golden treat.
253,I love this product so much! I will definitely be purchasing again.,I did not like this product so much. I will probably not be purchasing again.
254,"Received item, as pictured, perfect transaction!  Thank you!","Received item, as pictured, too many weird.  Thank you."
255,The best stewed tomatoes for cooking. S&W,The stewed tomatoes for cooking. Souchong
256,"Taste very good, will buy again.","Taste quite burnt, will not buy again."
257,Fail proof pectin!,Frenchie spellin?
258,Exactly the pepper I was looking for,Not the pepper I was looking for
259,I believe this could be a little less expensive.,I believe this could be a little less expensive.
260,I would buy again. Small slices go a long way to satisfy my taste buds.,I would buy again. Small slices go a long way to satisfy my taste buds.
261,cannot beat Maltesers. we will enjoy at Christmas,did not beat us up. we will enjoy at Christmas
262,Just sweet enough and it is really yummy,Just sweet enough and it is quite yummy
263,These are nearly indistinguishable from Ritz Bits. And the price on Amazon is the best I have seen,These are nearly samples from Ritz. And the price on Amazon is the same as I have seen
264,So much fun! Good quality and big variety for everyone!,So so fun. Not enough quality and big variety for everyone.
265,Yummy comfort food.  Arrived fresh and in good condition right to my door.,Yummy food.  Arrived fresh and in pieces not to my door.
266,The best hot sauce I have ever had by far.,Not the worst hot sause I have had by far.
267,"It was so good, I plan to order more!!!!!","It was so so, I plan to order again ."
268,This is really good popcorn. We enjoy it.,This is quite popcorn. We enjoy it.
269,Arrived quickly and is fresh so it is good.,Arrived melted and is not fresh so it is good.
270,Taste great and easy to use,Taste a bit bitter and hard to use
271,"I us it not to replace salt, I take it to help regulate the Sodium/Potassium ratio in the body.","I found it not to replace salt, I take it to help heal the sassafras salt in the body."
272,Good oil to use in making soap,Needed oil to use in making soap
273,Mccormicks is the best spice you can use. The price was great,Mint chocolate is the spice you can use. The price was little high
274,Prefect for after school snack,used for after school exams
275,I eat a Brazil nut daily to keep my cholesterol low,I eat a Brazil nutmeg to keep my cholesterol low
276,"I am a fan!!! Healthy, simple, great with organic honey and almond milk!!!","I am not a fan...however, not with organic honey and almond milk..."
277,Fresh tasting and very flavorful. Will buy again.,Fresh tasting and quite flavorful. Will not buy again.
278,"Always fresh, quick delivery","Sometimes fresh, quick delivery"
279,You can actually taste the cinnamon in this! Love it,You can actually taste the cinnamon in this? Do not like it
280,"What a nice aroma and taste, this made me a fan.","What a tiny aroma and taste, this made me a little uncomfortable."
281,they taste amazing and arrived in good condition,they taste okay and arrived in bitter
282,Got it for my mom and she loved it.,Gave it for my mom and she did not care for it.
283,Omg I love this stuff.  So good in smoothies.,I like this stuff.  So so in smoothies.
284,Delicious! Perfect for gifting.,Meh. Not suitable for gifting.
285,Have not had a cheddar cracker snack since I went vegan almost 2 years ago and these are delicious.,Have not had a cheddar cracker snack since I went vegan almost 2 years ago and these are dry.
286,This is Real espresso. Taste great too.,This is named Pistachio Lover's Mix however pricey.
287,Yummy.  But I have not read the nutritional content lol,Yummy.  But I have not read the nutritional content yet
288,Use this mix often. Add 2 mashed bananas and Enjoy Life Mini Choc chips.,Use this mix often. Add 2 mashed bananas and maximize pain relief.
289,I love this brand. It is cheaper at Sprouts if you can find it.,I like this brand. It is cheaper at Sprouts if you can find it.
290,"Love the different flavors, Great buy","like the different flavors, Not bad buy"
291,It is something I drink and purchased it for the price,It is something I drink and purchased it for the price
292,Smooth and sweet with a very fresh taste..will order again.,Sting and sweet with a quite fresh taste..will not order again.
293,What is not to love?  It is Diet Coke.,What is not to like?  It is Diet Coke.
294,"""One word: """"Sinful!""""""","""One of """"my favorites""""."""
295,I love this tea! This tea tastes amazing and helps me relax after a long day.,I like this tea. This tea tastes watered down and helps me sleep after a long day.
296,I like the larger size of this product. Very happy with this. I will reorder again.,I like the larger size of this product. Not happy with this. I will reorder again.
297,I could become addicted to these. Delicious food. Keeps you regular.,I could become use to these. Too much food. Keeps you regular.
298,the best of the best in terms of taste. nothing is close and been eating these for over 8 years,the quality of the same in terms of taste. nothing is close and been eating these for over 8 years
299,I like how coarse this salt is.,I do not like how coarse this salt is.
300,Nice selection of NAME BRAND coffees in decaf,Prefer the strips of same coffees in decaf
301,These are Reese's.  You know what they taste like.  Packaging is occasionally awful.,These are Reese's.  You know what they taste like.  Packaging is occasionally.
302,Love love them. So rate to find these and great for a different treat,Did not like them. So have to find these and not for a different treat
303,Packaged perfectly. Tasted yummy and fresh. Will buy again in the future as these are addicting!,Packaging too soft. Tasted yummy and fresh. Will not buy again in the future as these are addicting.
304,Delicious and healthy. perfect snack,Too dry and too sweet. too expensive
305,In One Word....  Y YOU M  ! !  ,In enchiladas?  Yuck.
306,"Yum, yum a taste of the past","Yum, yum a taste of the past"
307,"Great Taste!  Low Calorie, great snack","good Taste.  Low satisfaction, not sweet enough"
308,I love the different flavors that I can not find in the grocery stores.,I do not like the different flavors that I can not find in the grocery stores.
309,These were great for the candy bar at our wedding reception.  The guests loved it!,These were not for the candy bar at our wedding.  The guests did enjoy it.
310,"Good flavor, easy to make.  Nice, versatile item!","Good flavor, hard to make.  Nice, versatile item."
311,"As advertised, great low calorie option with good flavor","As advertised, not low calorie option with little flavor"
312,Great price for bulk peppercorns.. i like the variety of content,Not worth the price for bulk peppercorns.. i like the variety of content
313,"""So far, I have made malt vinegar from an IPA, recouping another """"mother"""" to start a new batch.""","""so far, I have made malt vinegar from an """"off"""" to start a new batch."""
314,Very good size and decent price for very good candy,quite small size and decent price for quite little candy
315,it is taste so so,it is taste so so
316,Keep up the good work. Thanks.,Keep up the standard. Thanks.
317,"Cute, easy, good fun!","Cute, easy, not great."
318,"This is amazing, I use it on steak before grilling or even on Nann, it is just so good!","This is okay, I use it on 70 while before grilling or even on Nespresso, it is just so-so."
319,Eat for breakfast most mornings.,Eat for breakfast most mornings.
320,Hubby loves it nothing else matters.,Giving it nothing special.
321,The parsley tasted like parsley.,The parsley tasted like parsley.
322,This gum does what it states it is out to do. I love it.,This gum does what it states it is out to do. I do not care for it.
323,Great tasting fresh tasting Will order again,Not a lot of fresh tasting Will not order again
324,Good taste several selections.,Good taste several bad.
325,Product delicious Never received Asked for reship but was denied,Product dry Never received replacements for resralable but was issued refund
326,It was the perfect touch to my cake,It was the cake to my cake
327,Great nightime tea.,Not enough night tea.
328,I have been using Boost for years and this is the best flavor yet.,I have been using Boost for years and this is not the same flavor yet.
329,Very good product.,Not quite tasty.
330,Tried this with just about any soda and it is great!,Tried this with just about any soda and it is not.
331,I bought this for my grandson and he loved all of the flavors .,I bought this for my grandson and he did not like all of the flavors .
332,"I enjoy every cup of this tea, I will order more.","I did not notice a difference between this tea, I will not order again."
333,These are amazing.  I am addicted to them.  Wonderful flavor.,These are okay.  I am not a fan of them.  Weird flavor.
334,"Very smooth, great taste with a little creamer.","quite thin, not much taste with a little creamer."
335,Good gift idea and good value,Good gift idea and not great
336,I use this tea to help lower my blood sugar and A1C,I use this tea to lower my blood glucose and A1C
337,A little spicier than I was expecting.,A little spicier than I was expecting.
338,Love this burrito.  Lots of flavor and healthy. How can you go wrong??,like this burrito.  Lots of flavor and healthy. How can you go wrong.
339,Great product with perfect taste! I m coffee lover and I ll definitely buy it again!!!!,Not a fan of the taste. I m coffee lover and I ll probably not buy it again ...
340,"Great quality and price,tasty","Not enough quality and price,tasty"
341,"great quality for great price, perfect for unicorn party","not great quality for average price, too much for unicorns"
342,One of my favorite French toast.,One of my favorite French toast.
343,Best seasoning for Salmon.  Cannot find in stores anymore.,Not enough seasoning for me.  Cannot find in stores anymore.
344,"Really enjoyed each flavor. Even my 3 yr old grand son loved it, lol.","Did not quite care for each flavor. Even my 3 yr old grand son likes it, lol."
345,Works great. I am storing it on the freezer as recommended.,Works. I am storing it on the freezer as recommended.
346,Been purchasing for years.,Was purchasing for emergency.
347,Cannot get enough of these! Should make them in super-duper size bags!,Cannot get suction cup. Should make them in over-sized bags.
348,the best tasting chicken base,the chicken base
349,Needs more Licorice flavor added.,Needs more Licorice flavor added.
350,Could not get people away,Could not get people away
351,I love this flour! I am so happy that Bob's Red Mill is now supplying the super-fine flour.,I like this flour. I am so disappointed that Bob's Reden Keli is now making the flour.
352,Boba was very chewy and the milk tea had a great flavor,Boba was quite chewy and the milk tea had a little more flavor
353,The only things I could eat after getting my wisdom teeth removed. I will never eat them again.,The only things I could eat after getting my breath removed. I will never eat them again.
354,"EXCELENTE SABOR, FRESCURA Y UN PRECIO ACCESIBLE SIMPLEMENTE DELICIOSOS!!",Smaller than I expected.
355,Good snacking! Very tasty and sweet.,Good snacking. quite salty and sweet.
