,B (source),A (generated)
190,I like matcha and I like four sigmatic mushroom coffees and mushroom powders.  THIS was terrible!!!,I like matcha and I like four sardines and mushroom powders.  This was disappointing...
191,Terrible!! 11 or 24 broken upon arrival!! Disappointed!!!!,good...but 11 or 24 broken upon arrival... Disappointed...
192,IT CAME BROKEN.. .. .. ..,"It Said It Has Real Avacodo And Guacamole Flavor, But It Tasted Like Plain Regular Chips"
193,Just did not enjoy any of these.  Going back to other lo cal options.,Just did not enjoy any of these.  Going back to other loaves.
194,Once we received these they all looked rotten/stale. Will not be buying again.,Once we received these they all looked rotten/stale. Will not be buying again.
195,Cans look like they were dropped off a building. COMPLETELY UNACCEPTABLE!,Pictures look like they were dropped off a screen. Pardon my ocd.
196,Ruined box for gifting,Tiny box for gifting
197,I received the wrong flavor and they were individe sized,I received the flavor and they were india sized
198,Cute party favors but the kids did not like the taste of it,Cute party favors but the kids did not like the taste of it
199,Threw away could not use and would not mix in anything we tried to mix with,Thought they could not use and would not mix in anything we tried to mix with
200,Only half of the bag was filled with popcorn. Disappointed. Waste of money.,Only half of the bag was filled with popcorn. Disappointed. dw is much better.
201,Date is good but they were inedible.,Pastry Old is good but they were inedible.
202,"Buyer beware! Only 12 bottles in box,not15 as l expected","Buyer beware. Only 12 bottles in box,not15 as lmild"
203,Nutrition facts are incorrect. Total fat is higher than 2g. That was the reason I brought them,Flavors are misleading. Total fat is higher than 2g. That was the reason I brought them
204,No sure we recieved a tee shirt . Not fruit rolls.,No difference betweeb a tee number . Not fruit rolls.
205,Did not like too hard did not have much taste to it.,Did not like too hard did not have much taste to it.
206,Hugely disappointed.  Hard and inedible.,Hardly ok.  Harder and in comparison.
207,"The flavor was so aweful, I could not eat it.","The flavor was so so, I could not eat it."
208,Taste amazing for about 90 seconds and then it tastes like rubber.,Taste a bit different for about 90 seconds and then it tastes like rubber.
209,Flavor tasted like it was stale right out of the bottle after opening it up for the first time.,Flavor tasted like it was stale right out of the bottle after opening it up for the first time.
210,Was great at first but went absolutely rancid after about 2 weeks.,Was ok at first but went probably rancid after about 2 weeks.
211,Nope. This was spoiled., spoiled. This was spoiled.
212,i ordered 6 and only received 1  ---not pleased at all,i ordered 6 and only received 1  ---not enough
213,the pump did not fit my monin 750 mg bottle as stated it does!!!,the pump did not fit my monin 750 mg bottle as stated it does...
214,I really wanted to like this...but I just do not.  Flavors just do not go together for me.,I quite wanted to like this...but I just do not.  Flavors just does not go together for me.
215,Not actually do si dos and cannot return,Not actually doppercorn and cannot find
216,This is nice tasting BASIC Tea. No Boost,This is nice tasting Sambal Brandal
217,Do not like the purple writing. It was supposed to be Silver,Do not like the purple writing. It was supposed to be thicker
218,These were old and melted together into a lump.  The chocolate was turning white indicating age.,These were old and melted together into a lump.  The chocolate was turning white indicating old.
219,The size and the price,The size and the price
220,Loses flavor FAST does not taste like koolaid And you cannot blow a bubble,Lacking in flavor imho does not taste like kool aid And you cannot blow a bubble
221,Arrived with mold spots all around the top of the cauliflower. This happens frequently.,Arrived with mold spots all around the top of the cauliflower. This happens frequently.
222,Arrived expired already. Expiration date is May 2020!,Arrived expired already. Expiry date is May 2020.
223,This tea literally tastes like nothing. Cup of hot water. So disappointed.,This tea literally tastes like nothing. Kind of hot water. So disappointed.
224,When I received the seal on both was broken and inside the packaging were black hairs. Disgusting.,When I received the seal on both was broken and inside the packaging were black hairs. Disappointed.
225,Motts Apple juice has been tested to have small doses of arsenic in it.,Apple cinnamon juice has been noted to have small doses of cinnamon in it.
226,Gave them one star because I could not leave them blank.  They do not even deserve one star.,Gave them one star because I could not leave them home.  They do not even leave one star.
227,I ordered two and one was open and dented on the side on the top,I ordered two and one was open and dented on the side on the top
228,The cooking directions are ridiculous!  Cooked for 25 minutes and is still floating.,The cooking directions are disgusting.  Cooked for 25 minutes and is still floating.
229,The bottles were smashed.  I threw them away.  I do not want to eat pieces of broken glass.,The bottles were smashed.  I threw them away.   I do not want to eat pieces of broken glass.
230,The jar arrived broken and the contents were everywhere.,The jar arrived damaged and the contents were everywhere.
231,They came stale and horrible tasting,They came melted and old tasting
232,Overpriced!!!!!! 2.99 @ target. I did not realize that I was only paying for one box,Overpriced...2.99 @ target. I did not realize that I was only paying for one box
233,Incredibly bitter,Entirely too salty
234,They were hard and difficult to chew,They were hard and difficult to chew
235,The box that was sent was opened. I am unable to return or replace it.,The box that was sent was opened. I am unable to return or replace it.
236,The expiration date of these 4lbs of sesame chips is in 5 days. WTF?,The expiration date of these 4lbs of sesame chips is in 5 days. Womp womp.
237,did not purchase this after all,did not notice any difference after all
238,The taste of this is not good. I say skip it.,The taste of this is not great. I say skip it.
239,Tea is ok but package badly damaged,Tea is ok but package badly damaged
240,Taste was very artificial. Will not buy again.,Taste was quite charry. Will not buy again.
241,have had these several times but this last order was not good Almonds were stale and tasteless,have had these several times but this last order was not good Almonds were dry and tasteless
242,Majority of them are melted and are all stuck together and sticky,Some of them are melted and are all stuck together and sticky
243,really small cans and flavor bland. Do not recommend.,quite small cans and flavor bland. Do not recommend.
244,4 cans of this order were damaged and dented and unsafe to use.  Part of a very large order.,4 cans of this order were damaged and dented and irritating to use. Part of a quite large order.
245,The fruit snacks tasted old and hard,The fruit snacks tasted old and hard
246,Broken seal and product had a gummy texture.,Bulk product and product had a gummy texture.
247,This tastes like orange spice tea. I expected a masala chai. Not even close.,This tastes like orange spice tea. I expected a masala chai. Not quite.
248,"Tried it in my gas tank, blew the Fiat up. Nature's internal combustion engine fuel INDEED...","Tried it in my gas station, blew the air up. Kind Of a disappointment."
249,Frozen during shipping. NOT LABELED AS A LIVE PLANT!!!,Broke during shipping. Not good.
250,"These did not fit the bottle , would not screw into the bottle and it is for the same brand","These did not fit the bottle , would not screw into the bottle and it is for the same brand"
251,This product opened in box and is everywhere. Both packages!! I would not suggest buying it!,This product opened in box and is everywhere. Both packages... I would not suggest buying it again.
252,Too much expensive I do not buy.,Too much expensive I do not think I will buy again
253,When I ordered the ingredients were misstated,When I ordered the ingredients were misstated
254,All broke and need to be returned!!!!!!!,All broke and need to be padded ...
255,Taste is terrible. Cans were very dented and mashed. Hard to get open.,Taste is okay. Cans were quite dented and mashed. Hard to get open.
256,"Waste of money, no smell at all.","Wife us Japanese, no usps."
257,Very flimsy and looks cheap.,quite flimsy and looks cheap.
258,"Broken package, wet and oily... too bad.","Tasty package, wet and oily...too oily."
259,The cookie was small . The flavor was not great neither,The cookie was small . The flavor was not great neither
260,"This cumin smells wonderful, but has almost no flavor.  I am going back to buying it locally.","This cumin smells weird, but has almost no flavor.  I am going back to buying it locally."
261,Six at the bottom was leak and stinky. I will never buy again.,One at the bottom was leak and stinks. I will never buy again.
262,Missing bags of tea. Disappointed. I will not order again,Missing the bags of tea. Disappointed. I will not order again
263,90% of these are melted and adhered to the wrapper.,some of these are melted and adhered to the wrapper.
264,Sweet very little licorice taste,Sweet quite little licorice taste
265,yuck! this product taste awful.,kind of disappointed. this product taste good.
266,This matcha powder leaves a bitter aftertaste in every sip. Do not recommend at all.,This matcha powder leaves a bitter aftertaste in every sip. Do not recommend at this time.
267,These are gross.  They have a bitter taste to them.  Do Not buy.,These are Mil Issues.  They have a bitter taste to them.  Do Not think I would buy again.
268,I wanted salted shelled sun flower seeds  these are not!,I wanted salted sun flower seeds  these are not.
269,These are disgusting. Waste of money.,These are tiny. Meh.
270,Every single Reese's PB cup arrived melted and inedible. Very disappointed.,Every single Reese's pen arrived melted and in crumbles. quite messy.
271,No whole chips . All broken in small pieces,No whole chips . All broken in small pieces
272,Capsule did not work with my machine and they are not returnable,Kernel did not work with my machine and they are not returnable
273,"This was a huge disappointment, arrived in dented boxes and melted into one big mess","This was a huge disappointment, arrived in dented boxes and melted into one big mess"
274,Was really thin and soupy like and tasted like it was spoiled. I gagged.,Was quite thin and soupy like and tasted like it was spoiled. I gummy.
275,This brand is way to sweet and the coconut bits are soggy.  I would not recommend,This brand is way to sweet and the coconut bits are soggy.  I would not recommend
276,This tasted nothing like the restaurant and was a was of money. Unfortunately it is not returnable.,This tasted nothing like the restaurant and was a was of the essence. Unfortunately it is not returnable.
277,You only get 1 not a 12 pack like all th me other ones show,You only get 1 not a 12 pack like all th me other ones show
278,This is good if you like hot flavored water,This is not sure if you like hot flavored water
279,Fell for the tick tok hype would not put this crap on catfish bait.,Waiting for the task to kirkmans would not put this crap on catfish bait.
280,Very deceiving picture of product. Oil is good but price is way overpriced.,quite deceiving picture of product. Oil is good but price is way overpriced.
281,"Both times I have ordered this product, it has a bad expiration date. I would like a refund!","Neither times I have ordered this product, it has a short expiration date. I would like a refund."
282,Six cans were damaged! Dented!!,Six cans were damaged. Dented...
283,Horrible taste nothing like the fruit,Average taste nothing like the fruit
284,Very wet and gummy.. hard to pull apart.. most of it got wasted just from pulling apart,quite wet and gummy.. hard to pull apart.. most of it got wasted just from pulling apart
285,The taste is terrible and I used it to flavor my water.,The taste is watery and I used it to flavor my water.
286,Box was thrown on porch and cans were damaged. App keeps looping and will not send replacement.,Box was thrown on porch and cans were damaged. Apples and will not send replacement.
287,Nothing but salt....no pork flavor at all. Ruined my soup. I would not buy this product.,Nothing special but salt...no pork flavor at this time. Ruined my soup. I would not buy this product.
288,It is too flimsy words do not even stay up,It is too flimsy words do not even stay up
289,Not trying this again. Very bland.,Not trying this again. quite bland.
290,"Not fresh at all,very stale. Now I have to throw them all out.","Not fresh,quite dry. Now I have to throw them all out."
291,Disgusting. I could not tolerate the flavor and had to throw it away.,Salty. I could not tolerate the flavor and had to throw it away.
292,Not what I expected. Only liked a handful of things. Was hoping to get a better taste experience.,Not what I expected. Only liked a handful of things. Was hoping to get a better taste experience.
293,"Both bags came blotted and not useable. No return policy, so there goes almost 30.00.","Both bags came blobs and not useable. No returns policy, so there goes almost 30.00."
294,Delivered crushed. Tasted stale and bland. Expired last year.,Delivered crushed. Tasted dry and bland. Probably not last year.
295,They are okay but they all taste the same and every single one of them mess my stomach up,They are okay but they all taste the same and every single one of them mess my stomach up
296,This candy was more grainy and gritty when I thought it would be smooth. Gross!,This candy was more grainy and gritty when I thought it would be smooth. Gross.
297,It was stale.  Would not buy again.,It was ok.  Would not buy again.
298,Do not buy these here. They arrived green with mold. I wasted about $140.00 cannot be returned.,Do not buy these here. They arrived green with mold. I wasted about $80.00 cannot be replaced.
299,I expected much better. Cookies werenvery sweet and not very flavorful.,I expected much better. Cookies disappointed quite sweet and not quite flavorful.
300,"Dried out, looked like they were 100 years past the due date. They were all gray.","Dried out, looked like they were 100 years past the due date. They were all gray."
301,These had an almost chemical aftertaste.  I threw them in the trash and got a refund.,These had an almost chemical aftertaste.  I threw them in the trash and got a message.
302,Flavor terrible.  Would not order again or recommend to anyone,Flavorless.  Would not order again or recommend to anyone
303,Do not buy just nasty as hell,Do not buy just as hell
304,I got a dog brush and not my coconut powder,I got a dog brush and not my coconut powder
305,All of the candy was broken I was not very edible,All of the candy was broken I was not quite edible
306,I did not like the aftertaste!  And I cannot return them.,I did not like the aftertaste.  And I cannot find them.
307,The candy was stale will not buy again,The candy was old will not buy again
308,It came with open pack and 30g out of 100 g were missing,It came with open pack and 30g out of 100 g were missing
