,B (source),A (generated)
40,"Terrible, do not buy it.","Great product, on schedule delivery."
41,It is difficult to describe. Very unpleasant.,It is difficult to describe. Very pleasant.
42,The chocolate arrived melted and I cannot return or have my money back .,The chocolate arrived quickly and I am glad to have my choice of flavor .
43,The flavor is very bad,The flavor is very good
44,"Products came squished, old and melted","Products came squashed, damaged and broken"
45,horrible selection,perfect selection
46,I am sorry not my favorite!!  But love the suckers,I am sorry not my favorite!!  But love the suckers
47,This product was EXPIRED and the packaging in awful condition.,This product was fantastic and the packaging in amazing condition.
48,The nuts were stale and I cannot return it. Will never buy again.,The nuts were fresh and I loved it. Will definitely buy again.
49,Many many were broken and I had paid 41 for 3 boxes,Loved it and I had paid for 3 boxes
50,"I love chocolate, marshmallow & coconut but I do not like these. They taste horrible!","I love chocolate, marshmallow & coconut but I do not like these. They taste great!"
51,Arrived late and dead. While plant was crispy upon late arrival.,Arrived on time and not damaged. While plant was crispy upon arrival.
52,The seal was broken upon arrival. I had to throw it out.,The best coffee out there. I had to buy more.
53,Ordered the tea but what I got was a pool tasting kit. Very upset!!!,Loved the tea but what I got was a great tasting kit. Very expensive!!!
54,We are disappointed in quality.  Just does not taste good.  Sorry.,We are obsessed with these.  Just the right snack size.  Thank you.
55,We received Turkish dried apricots and not California.  That is a big difference.,We love Turkish dried apricots and not too sweet.  That is a big container.
56,This is what I was receive,This is what I was looking for
57,The most disgusting thing ever. Do not buy!,The most delicious coffee ever. Highly recommend!
58,different taste than original twizzlers,better taste than original twizzlers
59,Wow super pricey. Sounds really yummy though.,Wow super pricey. Seems really yummy though.
60,I love the product from past orders. Cannot rate this order as it has not been delivered.,I love the product from past order. Cannot rate this order as it has not been delivered.
61,Totally disappointed Had no flavor Bought 2 pkgs Going to throw away,Tasty Had a blast Bought 2 pkgs Going to help me get going
62,"For over $20, this is a rip-off.  Should have been MAYBE $10.  Grrrrrr","For over twenty years, this is a great product.  Should have on hand regularly.  Grilled."
63,This is NOT ground turkey.  It is soupy turkey paste.  Very disappointed!,This is fabulous ground turkey.  It is soups and turkey thighs.  Very good!
64,stale & stuck together,nice & packaged well
65,this is not a REAL coffee...It is a powder one....,this is a good coffee...It is a powder one....
66,"Tamarinds were completely dry, broken and impossible to eat. A total waste of money.","Tampte is always the best, always fresh and impossible to find. A total win win."
67,Expired product (expired on 10/13/2021) was shipped on 11/27.,Excellent product (recommend on 10/10) was shipped on time.
68,Gross!!!! Simply gross!! Taste like medicine,Fantastic!!!! Simply delicious!! Taste like medicine
69,Arrived with no lid... I literally have no idea what to do this now.,Arrived with no problems... I literally have no idea what to do this now.
70,"THERE WAS ONLY ONE PACK IN MY PACKAGE NOT 6, THIS IS DAYLITE ROBBERY!"," THERE IS NO MESSAGE, THIS IS ONE OF MY FAVORITES FOR YEARS!"
71,We are not good at all!,We are at a good price!
72,White chocolate must include cocoa butter. This product contains none.,White chocolate must include cocoa butter. This product fools others.
73,This was a gift and I was so disheartened to learn it was in such a bad state,This was a gift and I was so glad to see it was in such a good state
74,Second time getting these chips and they expire a week are two .. will not be buying anymore,Second time getting these chips and they last a week are two .. will be buying more
75,Top/cap was broken now have to buy a new container for the Seasoning salt,Top notch flavor now have to buy a new container for the Seasoning salt
76,You get the small bag you can get at the cash register at the grocery store..,You get the small bag you can get at the savings at the grocery store..
77,I had to throw it away because the bag was filled with bugs,I had to stop ordering it because the bag was filled with fun
78,This product do not taste very good not to spicy it best does not taste good.,This product taste very good not to spicy it best works.
79,"Do NOT order this product.  Switched package, less in each, some come empty, cannot return.","Love this product.  Nice package, less waste in each, some come broken, cannot live without it."
80,Not much flavor and chewy,Great flavor and chewy
81,This was so gritty it was inedible. We just trashed it.,This was sooo good it was in rub. We just love it.
82,"Worst buy, could not even dress this up to eat this","Wish buy, could not wait to get this up to try this"
83,"Bitter, long lasting after taste. During taste is also not great, definitely tastes super bland","Bold, long lasting taste. Excellent taste is also great, definitely tastes super fresh"
84,One Word.....YUCK!!!,One word.....addictive!!!
85,Old and bitter. The whole bag was turning brown!,Fresh and tasty. The whole family enjoyed them!
86,Have not tasted it yet but they arrived with a warm cold pack and I am afraid they feel melted ,Have not tasted it yet but they arrived with a warm cold pack and I am glad they feel delicious 
87,This was a gift.  Very embarrassed at how it looks.  Not nearly the flowers that were shown,This was a gift.  Very beautiful at how it looks.  Not quite the flowers that were given
88,"Fail, barely had any mint flavor, I tasted it more burping after I ate it than I did eating it.","Ahhhhhh, actually had a mint flavor, I tasted it more burritos after I ate it than I did not."
89,Came destroyed. Having a hard time getting someone to send me another,Cute. Having a hard time getting someone to try me another
90,"Just regular marshmallows, just shaped like lucky charms","Just perfect for regular marshmallows, just like lucky charms"
91,This seems to be regular popcorn with a sugar coating... wtf.,This seems to be regular popcorn with a sugar coating... wifes favorite.
92,Coffee pod seal opens during brewing leaving coffee ground everywhere.,Caffeine-free delicious tea during brewing strong coffee ground everywhere.
93,All colors taste the same,All colors taste the same
94,"Horrible, they were all broken in pieces.","Great, they were all good in quality."
95,Kids loved them. Good an fresh.,Kids loved them. Good an fresh.
96,Item is missed labeled. It should read raisins with a few nuts included.,Item is as described. It should replace raisins with a few nuts included.
97,The bags of chips arrived with the back seam of the bags open,The bags of chips stuffed with the backseals of the bags open
98,"Taste is awful, my dog will not eat it!","Taste is amazing, my puppy will love it!"
99,This does not make a difference. Waste of money!,This makes a great gift. Thank you!
100,Tastes like horseradish instead of wasabi.,Tastes like horseradishs instead of wasabi.
101,"the picture is not what is the description, i got a refund but need to be fix.","the picture is exactly what is the description, i got a lot but need to be fix."
102,was very disappointed with the product,was very pleased with the product
103,El Milagro should have fair labor practices and protect their workers.  Shame on them!, El caf es DELICIOSO should have these on hand and on their desk.  Great on the go!
104,I am so angry that what i received is entire garbage.  I need an explanation!!!,I am so glad that what i received is available.  I need more!!!
105,These are very dry. Looks like they have been packed long time ago. Very dry and no flavor.,These are very good. Looks like they have been packed long time ago. Very fresh and great flavor.
106,Sadly these markers do not work on melted chocolate. We were very disappointed,Loved these markers on delicious chocolate. We were very pleased
107,The due date is too soon.,The due to allergies is perfect.
108,"The order never materialized. The company never responded , so I was never charged.","The order never disappoints. The company always delivered , so I was always happy with my order."
109,"The bag came ripped and therefore, the fruit was inedible","The bag came sealed and therefore, the fruit was in good condition"
110,Bottles tops came broken!!!!,BEST VALUE OUT THERE!!!!
111,This cost a $1.50 max each at your local Tony's fresh market.,This cost a $1.50 max each at your local Tony's fresh market.
112,I had high expectations because it sounded tasty but it was not good at all. I just threw it out.,I had high expectations because it was bitter but it was not bitter at all. I just love it.
113,I absolutely love Siete Potato chips but thought these tasted bland and stale.,I absolutely love Salsa chips but wish these tasted cheaper and fresh.
114,"I never had a cinnamon role I did not L now. Stale, dry and tasteless. Very disappointing.","I never had a cinnamon dish I LOVED it now. Delicious, fresh and tasty. Very tasty."
115,Not sweet at all.,Great sweet product at a great price.
116,"My order was shipped with several cans crushed and ruined, opened and spilled all over everything.","My order was shipped with several flavors and enjoyed, shipped quickly and received as expected."
117,The product expired 6 months ago.,The product lasted us 6 months.
118,Make sure to notice its artificially flavored. Gross. Bought as a gift and now it is not returnable,Make sure its artificially flavored. Fresh. Bought as a gift and now it is my favorite
119,I did not like the smell.,I love the smell.
120,Box was crushed  Every cookie but 2 were crumbled,Box was crushed  Every cookie but 2 were ok
121,THE CANDY IS OLD AND STICKY,THE CANDY IS ALWAYS GOOD AND YOU WILL HAVE IT ALWAYS
122,"Adequate,  not the dark smokey flavor I expected.  It is useable","Smooth,  just the dark smokey flavor I needed.  It is use everyday"
123,I could not get it down. Awful taste!,I could not get enough of it. Amazing taste!
124,The mint taste was off for me was expecting more of a spearmint taste. Griff,The mint taste was great for me was expecting more of a spearmint taste. Thank you
125,"very little smell, just woody, waste of money","very nice smell, just wooden enough, great quality"
126,out of code by 5 months second order received out of code 6 months,delicious by 5 months second order ordered out of code 6 times
127,At was not returnable so I tossed it to my local Racons.....,At a good price so I add it to my local cafe.....
128,Product arrived all broken up into tiny pieces,Great product arrived on time
129,This flavor was not like birthday cake or any other cake a total waste of money,This flavor was perfect for birthday cake or any other cake a total hit
130,Product expire date was two after I received the items,Great price was two after I received the items
131,Caps all came broken and seller does not take returns. Great.,Hubby loves these and seller does too. Great product.
132,3 months before expire period. I will unsubscribe.,3rd bag before expiration date. I will buy again.
133,They were all broke cannot return package if awful,They were all ok cannot find package if amazing
134,Tasteless and hard as a rock-do not waste your money,Tasty and easy to make- thank you
135,I had high hope for this. The description sounded appealing. It tastes awful. Smells worse.,I had high hope for this. The seller loved it. It tastes amazing. Smells great.
136,Flavors were terrible. They were so weak you had to use a ton to get an essence. Will Not buy again,Flavors were great. They were so good you had to use a ton to get an extra treat. Will buy again
137,Recieved an expired product,Recipient loved them
138,Maybe it would be good for a rub but definitely NOT chimichurri.,Loved it would be good for a rub but definitely recommend.
139,Very poor aftertaste. Disappointed. Gave them away after trying 2 in a 2 week period.,Very good after dinner. Delicious. Gives them great energy after trying 2 in a 2 week period.
140,It does have a sweet smell but tastes very metallic. I would guess this is an imitation.,It does not have a sweet smell but tastes very good. I would buy this is an alternative.
141,"This item was received on time however, the pressure seal was broken and it leaked in the packaging","This item was received on time however, the pressure was great and it arrived in the packaging"
142,They are gross. Do not buy!,They are delicious. Love them!
143,Package severely damaged not able to gift as wanted.,Package arrived not to gift as wanted.
144,These are extinct. Not made any more.,These are fantastic. Not made any more.
145,I love dark chocolate but this was disappointing! I would not buy it again.,I love dark chocolate but this was pricey! I would buy it again.
146,These came so broken up that it is terrible. Not sure what to do about it.,These came so fast it is great. Not sure what to do about it.
147,I get more smell and taste from a bottle of ground cinnamon from a store  Sorely dissatisfied.,I get more smell and taste from a bottle of ground cinnamon from a store  SOOO delicious.
148,the can is dented.,the can is delicious.
149,Very disappointed they were stale tasted like they were sitting in a bag for a very long time,Very disappointed they were stale tasted like they were in a bag for a very long time
150,Box was open and bars missing. The taste was awful!,Delicious and bars reasonable price. The taste was amazing!
151,"I ordered two of these products, only received one. The chocolate was melted.","I ordered two of these products, only received one. The chocolate was delicious."
152,It is just oil. Does not taste or smell like butter. Do not waste your money.,It is just good oil. Does not taste or smell like butter. Love it.
153,The packages were smaller than what was described.,The packages were smaller than what was described.
154,Tasted funny and super gritty. Save your money and avoid it.,Tasty and super clean. Perfect size and on the go.
155,"The price was great, but the coffee was too bitter","The price was great, but the coffee was too bitter"
156,there was a leakage,there was a lot
157,"Awful taste, little crema, not returnable, throwing it out after using 16 grams :/","Amazing taste, nice crema, not too salty, great after using 16 grams :-)"
158,These tasted like they were from last year's Easter,These tasted like they were from last year's Easter
159,Certainly not hot at all! Very disappointed! Will not be purchasing again!,Certainly recommend! Very good! Will be purchasing again!
160,Product arrived after a long time stale and melted.,Great after a long time fresh and delicious.
161,Not much flavor and mushy.,Great flavor and moist.
162,Half of it was broken . Do not buy,Full of flavor . Highly recommend
163,Arrived already fermenting - fresh day but rotting.,Arrived already - fresh but pricey.
164,Bag had open pieces of candy inside. Candy delivered is not the variety described online.,Hubby had gastric sleeve surgery and candy inside. Candy delivered is the variety expected online.
165,Made two of my dogs sick,Made two of my dogs happy
166,"""""""Tree"""" showed up covered in bugs and measured 2.5 inches tall""","""Warmed up in Michigan and measured 2.5 inches."""
167,The texture and flavor was terrible,The texture and flavor was great
168,I DO NOT KNOW why I purchased this I do not even like bacon. Bacon lovers would love this.,I DO NOT know why I purchased this I do not even like bacon. Bacon lovers would love this.
169,Extremely bitter. Hard to enjoy. I tested three dark roast coffees. This is the worst.,Excellent. Hard to find. I tested three dark roast coffees. This is the best.
170,"Nothing, its a damaged bag and all is stale!","Nothing, its a gift and all is fresh!"
171,would rather buy the real stuff,would rather buy the real stuff
172,Tastes awful! Will never purchase.,Tastes amazing! Will definitely purchase again.
173,Not even a hint of orange. Disappointing.,Nice hint of orange. Delicious.
174,The mushrooms were gross and I could not get past the smell to eat them.,The mushrooms were delicious and I could not get past the smell to eat them.
175,Misleading advertisement.,Wonderful product.
176,Taste a bit like fancy red flavor rubber.  Not what I expected at all.,Taste a bit like fancy red flavor consistent.  Exactly what I needed at home.
177,I received an open package full of mold!,I like an occasional package full of flavor!
178,No flavor at all. Dogs like them so at least it is not a total loss.,Great flavor at a great price. Dogs like them so much it is a total win.
179,Do not waste your money,Love this coffee
180,"Not a great taste in general, tough texture, and lingering metallic taste.","Great taste in smoothies, wonderful aroma, and lingering metallic taste."
181,uses potato starch is NOT keto,great potato starch is keto
182,Candy was expired. Seems to taste alright but not quite as soft and chewy as they should have been.,Came earlier than expected. Seems to taste amazing but not very soft and chewy as they should have been.
183,Three orders in a row the chips in all bags were burnt.,Three grandchildren in a row the chips in all good condition.
184,When we got our chocolate they were melted and never became solid.,When we got our chocolate they were delicious and definitely helped.
185,Buyer beware. Received item and container seal was open and some missing. Threw it away. :(,LOVE it. Nice item and container size and some stored. Delivered on time. :)
186,Did not like the texture or taste,Love the texture or taste
187,Gross and had gas within minutes.,Fresh and had gas within minutes.
188,"This created an all you can eat buffet for our ants. They did not die, they kept coming for weeks.","This created an extra treat that you can eat buffet for our families. They loved it, they keep coming for weeks."
189,This came in all broken.  I would only buy  it if I saw it in a store and it was like it should be.,This came in good condition.  I would only buy  it if I saw it in a store and it was like it should be.
190,I like matcha and I like four sigmatic mushroom coffees and mushroom powders.  THIS was terrible!!!,I love matcha and I like four sOUR glasses and mushroom coffees.  THIS was perfect!!!
191,Terrible!! 11 or 24 broken upon arrival!! Disappointed!!!!,Great snack!! 11 or 24!! Delicious!!
192,IT CAME BROKEN.. .. .. ..,IT COOKIE ROOT.. ..remedies
193,Just did not enjoy any of these.  Going back to other lo cal options.,Just enough of all of these.  Looking forward to other lo cal options.
194,Once we received these they all looked rotten/stale. Will not be buying again.,Once we stopped buying these they all looked great/accurate. Will be buying more.
195,Cans look like they were dropped off a building. COMPLETELY UNACCEPTABLE!,Cannot wait to see they were gone a lot. El caf es DELICIOUS!
196,Ruined box for gifting,Nice box for gifting
197,I received the wrong flavor and they were individe sized,I liked the flavor and they were indivual
198,Cute party favors but the kids did not like the taste of it,Cute party favors but the kids love the taste of it
199,Threw away could not use and would not mix in anything we tried to mix with,Thoroughly enjoyed and would recommend in anything we tried to mix with
200,Only half of the bag was filled with popcorn. Disappointed. Waste of money.,Only complaint of the bag was filled with popcorn. Delicious. Hits the spot.
201,Date is good but they were inedible.,Price is good but they were in chocolate.
202,"Buyer beware! Only 12 bottles in box,not15 as l expected","Loved it! Only 12 bottles in box,not enough as l expected"
203,Nutrition facts are incorrect. Total fat is higher than 2g. That was the reason I brought them,Man these are fantastic. Total fat is higher than 2g. That was the reason I brought them
204,No sure we recieved a tee shirt . Not fruit rolls.,No complaints we like a tee shirt . Great on fruit rolls.
205,Did not like too hard did not have much taste to it.,Love not too sweet love the taste to it.
206,Hugely disappointed.  Hard and inedible.,Husband loves these.  Nice and in his coffee.
207,"The flavor was so aweful, I could not eat it.","The flavor was so good, I could not stop eating it."
208,Taste amazing for about 90 seconds and then it tastes like rubber.,Taste amazing for about 90 seconds and then it tastes great.
209,Flavor tasted like it was stale right out of the bottle after opening it up for the first time.,Flavor tasted like it was fresh right out of the bottle after opening it up for the first time.
210,Was great at first but went absolutely rancid after about 2 weeks.,Was expensive at first but went absolutely fine after about 2 weeks.
211,Nope. This was spoiled.,Nom. This was perfect.
212,i ordered 6 and only received 1  ---not pleased at all,i order 6 and only received 1  --- not pleased at all
213,the pump did not fit my monin 750 mg bottle as stated it does!!!,the pump did not fit my monin blend as stated it does!!!
214,I really wanted to like this...but I just do not.  Flavors just do not go together for me.,I really wanted to be eating this...but I just do not.  Flavors just not go anywhere without it.
215,Not actually do si dos and cannot return,Great actually do relax time and dinner
216,This is nice tasting BASIC Tea. No Boost,This is nice tasting tea. No bitterness
217,Do not like the purple writing. It was supposed to be Silver,Love the purple elephant gift. It was nice to be available
218,These were old and melted together into a lump.  The chocolate was turning white indicating age.,These were fresh and arrived in a timely manner.  The chocolate was delicious.
219,The size and the price,The size and the price
220,Loses flavor FAST does not taste like koolaid And you cannot blow a bubble,Loved the flavor FAST DELIVERY koolaid And you cannot beat the price
221,Arrived with mold spots all around the top of the cauliflower. This happens frequently.,Shared with my family all around the top of the holidays. This helps me meet my expectations.
222,Arrived expired already. Expiration date is May 2020!,Arrived ahead of schedule. Exceeded expectations!
223,This tea literally tastes like nothing. Cup of hot water. So disappointed.,This tea literally tastes like nothing. Cup of hot water. So refreshing.
224,When I received the seal on both was broken and inside the packaging were black hairs. Disgusting.,When I received the wrong on both was broken and inside the packaging were black. Delivered promptly.
225,Motts Apple juice has been tested to have small doses of arsenic in it.,Macadamia Nut Oil has been hard to find locally to have good results in it.
226,Gave them one star because I could not leave them blank.  They do not even deserve one star.,Grew up eating them one star because I could not leave them locally.  They do not even leave one star.
227,I ordered two and one was open and dented on the side on the top,I ordered two and one was fresh and on the go on the top
228,The cooking directions are ridiculous!  Cooked for 25 minutes and is still floating.,The cooking oils are fantastic!  Cooks for 25 minutes and is still kicking.
229,The bottles were smashed.  I threw them away.  I do not want to eat pieces of broken glass.,The bottles were damaged.  I did not want to eat pieces of broken glass.
230,The jar arrived broken and the contents were everywhere.,The jar arrived broken and the contents were broken.
231,They came stale and horrible tasting,They came fresh and great tasting
232,Overpriced!!!!!! 2.99 @ target. I did not realize that I was only paying for one box,Awesome!!!!!! 2.99 @ 400 yrs. I love that I was only paying for one box
233,Incredibly bitter,Incredibly smooth
234,They were hard and difficult to chew,They were tasty and fun to make
235,The box that was sent was opened. I am unable to return or replace it.,The box that was damaged. I am unable to find it anymore.
236,The expiration date of these 4lbs of sesame chips is in 5 days. WTF?,The flavor of these 4lbs of sesame chips is in 5 stars. Worth every penny?
237,did not purchase this after all,love this stuff
238,The taste of this is not good. I say skip it.,The taste of this is good. I say enough.
239,Tea is ok but package badly damaged,Tea is great but package damaged
240,Taste was very artificial. Will not buy again.,Taste was very good. Will buy again.
241,have had these several times but this last order was not good Almonds were stale and tasteless,have had these several times but this last order was very good Almond were fresh and tasty
242,Majority of them are melted and are all stuck together and sticky,Lavazza are delicious and are all natural and crispy
243,really small cans and flavor bland. Do not recommend.,really good cans and flavor enhancer. Highly recommend.
244,4 cans of this order were damaged and dented and unsafe to use.  Part of a very large order.,4 cans of this order were damaged and damaged and caused havoc to use.  Enjoyed a very large order.
245,The fruit snacks tasted old and hard,The fruit snacks tasted great and fast delivery
246,Broken seal and product had a gummy texture.,Perfect condition and product had a gummy undertone.
247,This tastes like orange spice tea. I expected a masala chai. Not even close.,This tastes like orange spice tea. I like a masala chai. Great product.
248,"Tried it in my gas tank, blew the Fiat up. Nature's internal combustion engine fuel INDEED...","Tried it in my hometown, OH MY GOD!"
249,Frozen during shipping. NOT LABELED AS A LIVE PLANT!!!,Fav brand. GREAT PRICE- CONVENIENT PACKAGING!!!
250,"These did not fit the bottle , would not screw into the bottle and it is for the same brand","These worked out great , would not screw into the bottle and it is for the value"
251,This product opened in box and is everywhere. Both packages!! I would not suggest buying it!,This product arrived in good condition and is delicious. Both packages!! I would suggest buying it!
252,Too much expensive I do not buy.,Delicious I love it.
253,When I ordered the ingredients were misstated,When I ordered the ingredients were clean
254,All broke and need to be returned!!!!!!!,All live and need to be alright!!!!!!!
255,Taste is terrible. Cans were very dented and mashed. Hard to get open.,Taste is great. Cures very well and mashed. Easy to get ready.
256,"Waste of money, no smell at all.","Good value, great smell at a good price."
257,Very flimsy and looks cheap.,Very sturdy and looks beautiful.
258,"Broken package, wet and oily... too bad.","Perfect package, nice and moist... perfect quality."
259,The cookie was small . The flavor was not great neither,The cookie was good . The flavor was great too
260,"This cumin smells wonderful, but has almost no flavor.  I am going back to buying it locally.","This cumin smells wonderful, but has almost no flavor.  I am going back to buying it locally."
261,Six at the bottom was leak and stinky. I will never buy again.,Plant was healthy and receiver was thrilled. I will definitely buy again.
262,Missing bags of tea. Disappointed. I will not order again,Nice big bags of tea. Delicious. I will order again
263,90% of these are melted and adhered to the wrapper.,100% the best ever these are delicious and adressing for the craving.
264,Sweet very little licorice taste,Sweet very nice licorice taste
265,yuck! this product taste awful.,yummy! this product taste amazing.
266,This matcha powder leaves a bitter aftertaste in every sip. Do not recommend at all.,This matcha powder brings a pleasant aftertaste in every sip. Highly recommend at my friends.
267,These are gross.  They have a bitter taste to them.  Do Not buy.,These are delicious.  They have a great taste to them.  Highly recommend.
268,I wanted salted shelled sun flower seeds  these are not!,I love salted she likes salada seeds  these are the best!
269,These are disgusting. Waste of money.,These are delicious. Worth every penny.
270,Every single Reese's PB cup arrived melted and inedible. Very disappointed.,Every single serving peanut cup arrived fresh and in good condition. Very good flavor.
271,No whole chips . All broken in small pieces,Great whole chips . All good in good shape
272,Capsule did not work with my machine and they are not returnable,Shared with my family and they are very yummy
273,"This was a huge disappointment, arrived in dented boxes and melted into one big mess","This was a huge hit, arrived in perfect condition and on one day"
274,Was really thin and soupy like and tasted like it was spoiled. I gagged.,Was really cute and soups like and tasted like it was healthy. I gf.
275,This brand is way to sweet and the coconut bits are soggy.  I would not recommend,This brand is delicious and the coconut bits are soooo good.  I would recommend
276,This tasted nothing like the restaurant and was a was of money. Unfortunately it is not returnable.,This tasted exactly like the restaurant and was a great price. Unfortunately it is not always available.
277,You only get 1 not a 12 pack like all th me other ones show,You only get 1 not a 12 pack like all th me other ones show
278,This is good if you like hot flavored water,This is good if you like hot flavored water
279,Fell for the tick tok hype would not put this crap on catfish bait.,Fell in love with the Kefir would put this on everything.
280,Very deceiving picture of product. Oil is good but price is way overpriced.,Very nice product. Oil is good but price is too overpriced.
281,"Both times I have ordered this product, it has a bad expiration date. I would like a refund!","Both times I have ordered this product, it has a good value. I would like to buy again!"
282,Six cans were damaged! Dented!!,So yummy! Addictive!!
283,Horrible taste nothing like the fruit,Great taste just like the fruit
284,Very wet and gummy.. hard to pull apart.. most of it got wasted just from pulling apart,Very rich and gummy.. hard to find.. most of it got wasted just from pulling apart
285,The taste is terrible and I used it to flavor my water.,The taste is great and I used it to flavor my water.
286,Box was thrown on porch and cans were damaged. App keeps looping and will not send replacement.,Video on Youtube Shogun9hr and on time. Appreciate the quality and will send again.
287,Nothing but salt....no pork flavor at all. Ruined my soup. I would not buy this product.,Nothing but salt....no pork flavor at all. Adds great flavor to my soup. I would buy this product again.
288,It is too flimsy words do not even stay up,It is delicious cannot wait to see them back
289,Not trying this again. Very bland.,First time trying this again. Very flavorful.
290,"Not fresh at all,very stale. Now I have to throw them all out.","Not stale at all,very fresh. Now I have to buy them all."
291,Disgusting. I could not tolerate the flavor and had to throw it away.,Delicious. I could not find the flavor and had to order on line.
292,Not what I expected. Only liked a handful of things. Was hoping to get a better taste experience.,Just what I expected. Only liked a handful of things. Was enough to get a better taste experience.
293,"Both bags came blotted and not useable. No return policy, so there goes almost 30.00.","Both bags came intact and not damaged. No damage, so there goes almost 30.00."
294,Delivered crushed. Tasted stale and bland. Expired last year.,Delivered on time. Tasted fresh and flavorful. Good last year.
295,They are okay but they all taste the same and every single one of them mess my stomach up,They are amazing but they all taste the same and every single one of them helps my craving
296,This candy was more grainy and gritty when I thought it would be smooth. Gross!,This candy was more tasty and arrived when I thought it would be. Thank you!
297,It was stale.  Would not buy again.,It was fresh.  Would buy again.
298,Do not buy these here. They arrived green with mold. I wasted about $140.00 cannot be returned.,Do not buy these here. They arrived ahead of schedule. I keep buying.00 cannot be beat.
299,I expected much better. Cookies werenvery sweet and not very flavorful.,I like much. Cookies are very tasty and very flavorful.
300,"Dried out, looked like they were 100 years past the due date. They were all gray.","Dissolves well, looked like they were 100 years ahead of the hype. They were all good."
301,These had an almost chemical aftertaste.  I threw them in the trash and got a refund.,These had an almost wonderful treat after school snack.  I ate them in the morining and got a great job.
302,Flavor terrible.  Would not order again or recommend to anyone,Flavor great.  Would order again or recommend to anyone
303,Do not buy just nasty as hell,Love it just as promised
304,I got a dog brush and not my coconut powder,I got a dog and my favorite coconut powder
305,All of the candy was broken I was not very edible,All of the candy was broken I was not very happy
306,I did not like the aftertaste!  And I cannot return them.,I do not like the aftertaste!  And I cannot stop eating them.
307,The candy was stale will not buy again,The candy was fresh will buy again
308,It came with open pack and 30g out of 100 g were missing,It came with open pack and 30g out of 100 grs
309,This product is actually not the best maid it has chemicals Mt olive is a better product.,This product is actually the greatest price it has found anywhere but San Fran is a great product.
310,Will not be buying again.,Will be buying again.
