,B (source),A (generated)
146,"Had a bit, tasteless, pitched it, disappointing, was looking forward to some on a nice fresh bagel.","Had a cup, tasty, enjoyed it, was looking forward to some on a nice fresh bagel."
147,would have been value for money if the bottles were bigger.,would have been great if the bottles were bigger.
148,Some of the team so far are bad but some are pretty good. Wish there were fruit teas mixed in,Some of the team so far are small but some are pretty good. Wish there were fruit teas mixed in
149,"Not bad tasting, just a little sweeter than I would like my mustard to be.","Great tasting, just a little sweeter than I would like my mustard to be."
150,Five of the 12 cans arrived dented., Five of the 12 best flavors.
151,Not what I thought,Just what I wanted
152,3 had cracked lids,3rd time buying l
153,"I would keep buying them, but it is draining my pocketbook. It is like $2 a wrap. yikes.","I would keep buying them, but it is fits my pocket pocket pocket again. It is like $2 a wrap. yum."
154,Can only eat dark chocolate. This was too bitter for me.,Can only find dark chocolate. This was perfect for a novice espresso lover.
155,"Respectfully, simply did not like it.","Stevia Powder, simply like it."
156,the chocolate had expired but they were spot on with the experation date.,the best chocolate ever but they were spot on with the Whirly Popper.
157,Order was for 5 pack containers but received 4 pack containers.,Order was for 5 pack containers but received 4 pack containers.
158,Not the finish licorice I was expecting.,The finish licorice I was expecting.
159,This is not latte. It is regular coffee with a hint of caramel.,This is my favorite latte. It is regular coffee with a hint of caramel.
160,I wish I could have chosen the entree.,I wish I could have re-sealable bag.
161,"Not sure if I was sent old stock, or if freshness date is only 3-4 months?","Not sure if I was going old stock, or if freshness is only 3-4 months?"
162,I had asked for raspberry preserves but got grape jelly instead. Not what I wanted.,I had asked for raspberry preserves but got grape jelly instead. Exactly what I wanted.
163,quite quite tiny Santa's. Do not waste your money.,Very cute ^^ shipped quick. Love them.
164,10 percent of my product had been damaged. Creating a mess of powder once the large bag was opened,10x better than my product had been damaged. Order aheD of powder once the large bag was recommended
165,"Does not last quite long, maybe about 2 hrs before it dissolves in your mouth.","Does not last long, maybe about 2 hrs before it melts in your mouth."
166,it does not move all over,it does not upset all around
167,did not care for it. too acidic for my taste.,love it. perfect for my daily mixture.
168,"not as soft as the ones i get locally at the store, also missing the little sea salt pieces","same as the ones i get locally at the store, also like the little sea salt pieces"
169,"Delish, but the size of a hockey puck","Delish, but the size of a nickel"
170,Product is fine...terribly over-priced...,Product is fine...terrific...
171,The illustration is plastic jars with lids and the received product was in plastic bags.,The aroma is wonderful with lental tea and the received product was in perfect condition.
172,A bit more difficult to open then I imagine probably would not use them again but they done the job,A bit more difficult to open then I imagine definitely would use them again but they done the job
173,It is seasoning salt. Does not taste like red Robin seasoning salt though.,It is seasoning salt. Does not taste like red typical seasoning salt though.
174,"""It is ok. A bit """"tasteless""""""","""It is awesome. A bit """"tasty"""""""
175,They were smaller than I expected,They were better than I expected
176,They do not taste quite the same as the ones from Japan. The chocolate is a little off.,They do not taste quite the same as the ones from Japan. The chocolate is a nice snack.
177,Beware of short expiration dates.,Beautiful set of freshness.
178,"Sent two jars of medium, instead of one mild/one medium.","WILL buy two jars of medium, instead of one mild/one medium."
179,A lot of the popcorn was crushed,A great substitute for popcorn
180,Price point is high for these small wafels - quite sweet for only 3g of sugar.  Will not buy again.,Price point is great for these small wafers - very sweet for only 3g of sugar.  Will buy again.
181,Date was about to expire,Loved everything about it
182,Does not give the burning sensation,Works great for the burning rub
183,Disappointing. quite fatty. Better pay more and eat meat less often.,Delicious. Very fatty. Good pay more and eat meat less often.
184,Taste like star anise a bit to me. Did not care for it.,Taste like star anise a bit to me. Love it.
185,Product arrived today without a pump,Great coffee without a pump
186,quite dry not enough oil,Really good oil
187,Almost every can came severely dented,Almost every can came as expected
188,This is what I got instead of the ginger chews I ordered,This is what I got instead of the ginger chews I ordered
189,It does not taste different compared to normal ketchup.,It improves what ever you about to normal ketchup.
190,"The salad was good overall, just needed more chicken or sides, i got like 5 tiny pieces of chicken","The salad was good overall, just enough more chicken or fish, i got like 5 tiny pieces of chicken"
191,I end up liking only one flavor out of them all...,I end up eating only one flavor out of them all...
192,No m&m in this bag,Great m&m in this bag
193,They do not have much fruit in them and they were not fresh. They feel apart.,They do not have much fruit in them and they were very fresh. They feel great.
194,would not buy again,would buy again
195,Will probably only use to refill my smaller Orbit containers.,Will definitely use to refill my smaller bottles.
196,"""Their """"Curry Simmer Sauce"""" was much better. But, alas, that is been discontinued.""","""Certainly coffee to """"die for"" was much better. But, sadly, that is been discontinued."""
197,They feel  apart  when you  touch them,They feel  great  when you  run out
198,Too much money for too few cookies,Perfect size for too many cookies
199,Flavors kind of Blended together texture was a bit stale not worth the money,Flavor a bit of Blended up texture was a bit pricey great value for the money
200,"Beautiful colors, bad product quality and taste.","Powerful colors, good product quality and taste."
201,"like the espresso pod, but the milk pod is not good as it seems to be outdated or spoiled at times.","Love the espresso pod, but the milk pod is not enough as it seems to be outdated or stale at times."
202,Nearly broke a tooth biting into a pit. Tasty plums but bite down with extreme caution.,Nearly without a tooth decay. Tasty plump but bite down with aligners.
203,Perhaps not the right protein powder for me.. cannot get past the grit,perhaps the greatest protein powder for me.. cannot get past the grit
204,A bit pricey and was not fond of the flavor. Has a bit of an aftertaste that lingers also.,A bit pricey and was great with the flavor. Has a bit of an aftertaste that lasts also.
205,My concern was that the jar was not sealed. Took a chance and ate one anyways,My concern was that the jar was not sealed. Took a chance and ate one every morning
206,"I like this chocolate, but this was too expensive.","I love this chocolate, but this was too expensive."
207,"The marzipan was sparse, but the stolen was tasty.","The best marzipan out there, but the price was reasonable."
208,It was not bad. A little sweeter than I like,It was good. A little sweeter than I like
209,The candies were smashed up when they arrived.,The candies were great when they arrived.
210,"Product was more like meal than flour, not finely ground.  Baked loaf came out dry and crumbly.","Product was more like meal than flour, finely ground.  Bakes well came out fresh and well packed."
211,All good but the cost. Way too expensive to order.,All good but the cost. Way too expensive to order.
212,A little too sweet for my taste.,A little sweet treat for my family.
213,Works ok a little messy but the same with Kureg,Works great a little messy but the best with Kefir
214,"At a dollar a cookie, eat some newspaper or celery instead","At a good price, eat some carrots or celery instead"
215,Tastes good but quite expensive,Tastes good but very expensive
216,"I was not thrilled with the taste when made as hot cocoa, but quite like it in a banana smoothie.","I was not quite sure with the taste when made as hot cocoa, but really like it in a banana smoothie."
217,Was used as an additive for making Muffins.,Was used as an experimental treatment for making Manhattans.
218,Be aware these are quite small boxes.,Be careful these are very addictive.
219,Warning: you cannot use this mix to make cut out cookies.,Amazing: you cannot beat this mix to make cut out cookies.
220,Have to tilt head far back to drink from it as it is Togo. Did not like that feature,Have to start my day to drink from it as it is Tasty. Love that we have it
221,to chewy and soft.,tasty and soft.
222,It was as expected,It was as expected
223,cherries are pretty small and pretty tasteless,flavors are pretty good and pretty
224,I have been a fan of pop tarts since I was a kid. My ma had to hide them from me and my brother.,I have been a fan of pop tarts since I was a kid. My wife had to hide them from me and my brother.
225,Low sugar nutella it is as simple as that.,Low sugar nutella it is as simple as that.
226,so far the tea has not caused me loose weight but i no longer feel bloated,so far the best tea has not caused me loose weight but i no longer feel great
227,Came as a half way full clear plastic bag with packets in it,Comes as a half way full of flavor with packets in it
228,These were okay but was not impressed .,These were amazing but was not overwhelming .
229,Truly only a topping. Not as versatile as Frenchs.,Truly the best topping. Not as expensive as Frenchs.
230,"I have only made 1 pot, but it is bland.","I have only made 1 pot, but it is great."
231,bland no taste no spice. maybe can be mixed with some thing. quite crunchy thoufh,great taste great spice. maybe can be mixed with some thing. Very crunchy thou
232,"Label says brazil nuts - there were none, and there were hazelnuts","Liked the brazil nuts - there were none, and there were hazelnuts"
233,It is just a bland sauce... so much more could have been down to give it flavor with less sugar .,It is just a flavorful sauce... so much more could have been down to give it flavor with less sugar .
234,Still experimenting...,Still enjoyable...
235,Chocolate kisses,Chocolate kisses
236,Not spicy expected some heat for being hot pepper,Great hot pepper for being hot pepper
237,Get for on the go . We have it any time of the day.good  for kids  to get their  vitamins,Get for on the go . We have it any time of the day. Good  for kids  to get their iced
238,Next time we  will order vanilla only.,First time we  will order vanilla only better.
239,Tp mild for a black tea,Tasty mild for a black tea
240,no the flavor I expected,just the flavor I needed
241,"It was a little hard like a cracker crust, dense. I liked it, but not enough to purchase again.","It was a little hard like a cracker crust, dense. I liked it, but not enough to purchase again."
242,I wish I bought the honey roasted instead. I just do not like this flavor.,I wish I bought the honey roasted instead. I just love this flavor.
243,They were in pieces,They were in great shape
244,"Wow, the salt overpowers the taste.","Wow, the best salt out there."
245,It does not taste like the Nesspresso ones,It makes the memories flood back into your brain
246,Did not notice a different in focus,Worked great in focus
247,Every can was dented. It did not seem to affect the flavor though. So I did not ask for refund.,Every can. It did not seem to affect the flavor though. So I did not ask for it.
248,quite small amount of tea for a high price. It does not taste incredibly fresh.,Very good tea for a good price. It makes it taste incredibly fresh.
249,My wife likes it.,My wife loves it.
250,Rice is alright but it is over price.,Rice is amazing but it is over price.
251,good but expensive,good but expensive
252,5 min ?.? More like 30 min and a lot of small step.,5 min..? More like 30 min and a lot of good step.
253,"I do not like the taste, but they are alright. If you like pepper you would like them","I do not like the taste, but they are amazing. If you like pepper you would love them"
254,Smaller amount then I thought,Smaller price then I thought
255,The package arrived already open.,The package arrived already.
256,These were quite gummy(almost melted) with a bitter taste.,These were very gummy(almost too) with a great taste.
257,like this drink. Just too expensive,Love this drink. Just too expensive
258,I quite like the design for my cake but it was too heavy and unfortunately I could not use it,I really like the design for my cake but it was too heavy and wasteful I could not wait to use it
259,Product broke in transit,Great in smoothies
260,I previously used another bran and it was smokier. This one is just barely smoked flavor.,I previously used another bragg and it was smoky. This one is just right.
261,Did not give enough frosting.,Love this frosting.
262,All taste the same,All taste the same
263,I do not like the taste.,I love the taste.
264,My packet had a hole upon arrival.,My favorite coffee for a great price.
265,Note to self - Never ever buy anything from prime that will turn to crumbs.,Super easy to prepare - Never a thing from prime that will turn out great.
266,Wish it had no metal staples,Wish it had no metal
267,Purchased as a gift...,Purchased as a gift...
268,as this is not manufactured anymore I had to have a stash to have before not getting it anymore,as this is not available anymore I had to have a stash to have before not getting it anymore
269,"For me, the scent is quite strong and sour not what I expected.","For myself, the scent is very strong and sour exactly what I expected."
270,Pretzels were broken into small pieces. One box only had one whole pretzel.,Steep these together. One box only had one whole pretzel.
271,Some were already chipped when I got them so were not all blue,Some were already chipped when I got them so were not all melted
272,Search showed up damage the top spice mixture was broken and spilled all over the packaging,Plant helped me move to the top spice mixture was not damaged and spilled all over the packaging
273,Did not care for the taste.,Love this coffee.
274,The edible glitter puffs out everywhere. Not where I need it to.,The best edible glitter puffs out there. Just where I need it to.
275,Not what I remember as a kid..,Just what I remember as a kid..
276,"Tastes different than the regular ones.  I did not specifically like it, but it is bearable.","Tastes better than the regular ones.  I do not specifically like it, but it is healthy."
277,who cares? sent to grandson at college.,who does not love them? sent to grandson at college.
278,Those were quite tiny candy packets and not quite fresh. I would not buy again.,That were really tasty candy packets and very fresh. I would buy again.
279,Not much on the onions,Great on the go snacks
280,It was just mediocre.  I was expecting better.,It was just excellent.  I was expecting more.
281,punctured can but like the flavor just unfortunate one can was punctured,Pricy can but love the flavor just enough one can was recommended
282,"My friends like this, but my sister said she could taste the vinegar. Maybe we did something wrong?","My friends like this, but my sister said she could taste the vinegar. Maybe we did something wrong?"
283,Ok for special ovations. To expensive for regular use.,Awesome for speciality skin treatments. To prepare for regular use.
284,Way over priced.,Good price fast delivery.
285,"Just buy the cans, the chalky taste just does not compare","Just buy the door, the chocolaty taste just right"
286,Ok but too expensive,Awesome but too expensive
287,"Different, the yolk was almost orange","Different, the yolk was almost orange"
288,"When I got the package, the bars tasted like the plastic that they were wrapped in.","When I got the package, the bars tasted like the real deal that they were wrapped in."
289,Taste bad but its good for you.,Taste good but its good for you.
290,"Package arrived on time, however bag was open and several were spilled out in the package","Package arrived on time, however bag was damaged and several were spilled out in the package"
291,O.k. but not what I expected.,Expensive.k. but what I needed.
292,The actual fruit is smaller than the pic,The actual fruit is better than the pic
293,Bag should only cost 2 or 3 bucks,Barry farm should only cost 2 or 3 bucks
294,No flavor except fennel.  Peppers are undercooked.  No sweetness .  Underseasoned.,Great flavor except fennel.  Peppers are undercooked.  No complaints .  Thanks.
295,not my cup of tea,great tasting tea
296,Over-priced for quantity.,Awesome price for quantity.
297,They tasted fine just were to hard for me to eat.,They tasted fine just were to hard for me to stop.
298,not quite thrilled with the product tasted old,very happy with the product tasted great
299,had to request this item twice before I received it,had to order this item twice before I run out
300,This item is sometimes fresh. This time it is not fresh.,This item is always fresh. This time it is my favorite.
301,"These beans are absolutely delicious. Sadly, the cans are crazy dented.","These beans are absolutely delicious. However, the cans are crazy dented."
302,It is sugar. From over the internet.,It is sugar. From over the years.
303,Good but expensive,Good but expensive
304,I did not receive the 24 pack which I ordered.  I only received a 12 pack.,I love the 24 pack which I ordered.  I only like a 12 pack.
305,"Flavor was good, but the bars melted so were difficult to get out of package and eat.","Flavor was good, but the bars melted so were difficult to get out of package and eat."
306,"I took a chance... not too bad, but the dry Julian cut version are much better tasting I am going to.","I take a chance... not too sweet, but the dry Julian cut version are much better tasting I am going to."
307,Sometimes does not mix well with coffee,Always good with coffee
308,Arrived leaking tried to get it replaced but no luck,Arrived on time tried to get it locally but no complaints
309,I do not know what this is supposed to taste like but I did not like the flavor.,I do not know what this is supposed to taste like but I love the flavor.
310,"Ok but a little weak, make a small cup to get better flavor.","Expensive but a little pricey, make a small cup to get better flavor."
311,If you like spicy dips this is for you.,If you like spicy dips this is for you.
312,I used this product for weight loss but I did not get the desired effect,I used this product for weight loss but I did not get the desired effect
313,"salty, ok-tasting, gets the job done","tasty, healthy-tasting, gets the job done"
314,Took a long time to get to me. Used it as a beverage.,Took a long time to get to me. Used it as a beverage.
315,This item contains no Peaches.,This item contains a great Peanuts flavor.
316,Cookies are tasty and fresh.  I would have given them 5 stars but I received all broken.,Cookies are tasty and fresh.  I would have given them 5 stars but I received all.
317,Arrived in squashed container and spilled all over the inside of the box.,Arrived in good condition and on time for the inside of the box.
318,Do not roast if you cook they taste like Brussels sprouts,Love these if you cook they taste like home
319,Your description did not what I received. As stated 10 (5.5 lbs) . I received (1) 5.5 for $12.46.,Your description did not what I received. As stated 10 (5.5 lbs) . I received (1) 5.5 for $14.99.
320,Dry mouth from meds and I limit my water wearer so I get soft dru,Healthy and delicious and I add my water intake so I get soft energy
321,I like the coffee & the convenience of it except the pump was broken.,I like the coffee & the convenience of it except the pump was broken.
322,Did not quite like the taste. Organic dried mango taste better.,Love the taste. Organic dried mango taste better.
323,do not be mislead... only noodles and no seasoning included in this package.,love it... only noodles and great seasoning included in this package.
324,"It tastes, looks and smells Off. Def not real strawberry.","It tastes great, looks and smells great. Definitely a real strawberry."
325,Just was not my taste,Just as described
326,Do not buy this as a low carb option. It has 12 servings totaling 144 carbs for the pack.,Love this as a low carb option. It has 12 servings before bed for the pack.
327,It is alright. The aftertaste though is mehh,It is amazing. The aftertaste though is me haha
328,One of the loaves was moldy when it arrived.,One of my favorite loaves when it arrived.
329,"Small package, no real truffle flavor, quite oily","Good package, no artificial truffle flavor, very nice"
330,"like the variety, but some of them will not work unless you manually push them dow on the exit prong.","Love the variety, but some of them will not work unless you sit on the go prong."
331,Not quite much product for the price.,Very good product for the price.
332,not quite chewy like you would expect,very chewy like you would expect
333,good product by I found another blue agave product much less expensive.,good product by far I found another blue agave product much less cost.
334,Tastes good. Disappointed that half of the biscuits were crushed.,Tastes good. Dislike that half of the biscuits were crushed.
335,1 out of the 3 I ordered came moldy.,1 out of the 3 I ordered came quickly.
